fold,epoch,train,held
0,1,0.49451,0.4076
0,2,0.40515,0.39406
0,3,0.38634,0.38118
0,4,0.37732,0.35633
0,5,0.37179,0.37125
0,6,0.36715,0.35906
0,7,0.36184,0.35124
0,8,0.3583,0.3447
0,9,0.35431,0.34009
0,10,0.3516,0.35501
0,11,0.3482,0.34501
0,12,0.34452,0.33772
0,13,0.34235,0.33255
0,14,0.33925,0.34194
0,15,0.33646,0.34309
0,16,0.3344,0.33725
0,17,0.33179,0.33348
0,18,0.32892,0.33112
0,19,0.32676,0.32738
0,20,0.32457,0.3305
0,21,0.32226,0.3291
0,22,0.3207,0.32947
0,23,0.31877,0.3279
0,24,0.31719,0.32455
0,25,0.31659,0.3244
0,26,0.31511,0.32427
0,27,0.31465,0.32273
0,28,0.31413,0.32202
0,29,0.31335,0.32209
0,30,0.31326,0.32252
1,1,0.49846,0.46366
1,2,0.39507,0.45348
1,3,0.37751,0.44801
1,4,0.36842,0.44273
1,5,0.36258,0.43951
1,6,0.3573,0.421
1,7,0.35222,0.41186
1,8,0.34782,0.41087
1,9,0.34399,0.42065
1,10,0.34075,0.41635
1,11,0.33774,0.41504
1,12,0.33417,0.41979
1,13,0.33135,0.39456
1,14,0.32872,0.41244
1,15,0.32568,0.42701
1,16,0.32329,0.4211
1,17,0.32113,0.41877
1,18,0.31845,0.40971
1,19,0.31634,0.39601
1,20,0.31413,0.40222
1,21,0.31248,0.39877
1,22,0.31065,0.40951
1,23,0.30906,0.40003
1,24,0.30694,0.40157
1,25,0.30661,0.40069
1,26,0.30474,0.39823
1,27,0.30443,0.39604
1,28,0.30372,0.39966
1,29,0.30355,0.40057
1,30,0.303,0.39655
2,1,0.51828,0.45748
2,2,0.40457,0.43336
2,3,0.3792,0.42063
2,4,0.3696,0.41218
2,5,0.36337,0.40274
2,6,0.35934,0.39465
2,7,0.35539,0.39278
2,8,0.35194,0.40132
2,9,0.35096,0.39622
2,10,0.34713,0.38839
2,11,0.34466,0.38439
2,12,0.34188,0.38796
2,13,0.33964,0.37416
2,14,0.33775,0.37218
2,15,0.33611,0.38069
2,16,0.33356,0.37472
2,17,0.33189,0.35989
2,18,0.32923,0.37249
2,19,0.32747,0.36358
2,20,0.32567,0.36456
2,21,0.32411,0.36632
2,22,0.32264,0.36354
2,23,0.32134,0.35504
2,24,0.3201,0.35433
2,25,0.31841,0.35416
2,26,0.3181,0.35339
2,27,0.31671,0.35479
2,28,0.31672,0.35568
2,29,0.31635,0.35232
2,30,0.31584,0.35352
3,1,0.50448,0.42156
3,2,0.41102,0.38571
3,3,0.3914,0.36551
3,4,0.38139,0.37802
3,5,0.37469,0.35831
3,6,0.3702,0.3685
3,7,0.36659,0.35208
3,8,0.36128,0.35632
3,9,0.3582,0.3541
3,10,0.35426,0.35103
3,11,0.35084,0.35294
3,12,0.34698,0.3447
3,13,0.34339,0.34795
3,14,0.34137,0.34638
3,15,0.33813,0.33619
3,16,0.3354,0.33971
3,17,0.33348,0.33295
3,18,0.33031,0.33653
3,19,0.32792,0.33599
3,20,0.32547,0.32423
3,21,0.32299,0.33204
3,22,0.32047,0.32517
3,23,0.31937,0.33258
3,24,0.31765,0.32389
3,25,0.31593,0.32298
3,26,0.31493,0.32729
3,27,0.31404,0.32401
3,28,0.31387,0.32277
3,29,0.31267,0.32309
3,30,0.31306,0.32288
4,1,0.46961,0.43301
4,2,0.39386,0.40156
4,3,0.37754,0.38921
4,4,0.36939,0.3825
4,5,0.36275,0.38632
4,6,0.35879,0.39165
4,7,0.35377,0.37935
4,8,0.35007,0.38157
4,9,0.34605,0.38308
4,10,0.34287,0.37781
4,11,0.34033,0.36442
4,12,0.33673,0.37402
4,13,0.33321,0.36351
4,14,0.3302,0.35486
4,15,0.32804,0.37074
4,16,0.32601,0.35713
4,17,0.32266,0.36174
4,18,0.32121,0.35923
4,19,0.31796,0.3574
4,20,0.31614,0.3518
4,21,0.31461,0.34351
4,22,0.31217,0.34835
4,23,0.31073,0.3508
4,24,0.30934,0.34496
4,25,0.30835,0.34459
4,26,0.30717,0.347
4,27,0.30647,0.34558
4,28,0.30566,0.34354
4,29,0.30528,0.3434
4,30,0.30496,0.34384
