architecture,control,seed,class,support,positive_ROIs,semantic_P,semantic_R,semantic_F1,one_vs_rest_accuracy,global_conditional_accuracy,dominant_FN,dominant_FP,TP,FP,FN,pooled_P,pooled_R,pooled_F1,ROI_P,ROI_R,ROI_F1,recall_delta_vs_A1,F1_delta_vs_A1
A0,real,17,tumor,71,57,0.5833333333333334,0.5915492957746479,0.5874125874125874,0.8033333333333333,0.42333333333333334,melanophage,plasma_cell,42,30,29,0.5833333333333334,0.5915492957746479,0.5874125874125875,0.23640661938534274,0.24468085106382978,0.2328605200945627,0.0,0.00810224258500114
A0,real,17,lymphocyte,37,32,0.40476190476190477,0.4594594594594595,0.43037974683544306,0.85,0.42333333333333334,histiocyte,histiocyte,17,25,20,0.40476190476190477,0.4594594594594595,0.430379746835443,0.0839243498817967,0.09929078014184398,0.08936170212765958,-0.054054054054054,-0.06962025316455694
A0,real,17,plasma_cell,24,22,0.3125,0.20833333333333334,0.25,0.9,0.42333333333333334,tumor,apoptosis,5,11,19,0.3125,0.20833333333333334,0.25,0.018912529550827423,0.02127659574468085,0.019858156028368792,0.0,0.0
A0,real,17,histiocyte,24,23,0.09090909090909091,0.08333333333333333,0.08695652173913043,0.86,0.42333333333333334,lymphocyte,lymphocyte,2,20,22,0.09090909090909091,0.08333333333333333,0.08695652173913043,0.014184397163120567,0.014184397163120567,0.014184397163120567,-0.16666666666666669,-0.15304347826086956
A0,real,17,melanophage,24,24,0.5483870967741935,0.7083333333333334,0.6181818181818182,0.93,0.42333333333333334,tumor,tumor,17,14,7,0.5483870967741935,0.7083333333333334,0.6181818181818182,0.10638297872340426,0.12056737588652482,0.1111111111111111,0.0,0.02169059011164276
A0,real,17,neutrophil,24,24,0.6190476190476191,0.5416666666666666,0.5777777777777777,0.9366666666666666,0.42333333333333334,endothelium,apoptosis,13,8,11,0.6190476190476191,0.5416666666666666,0.5777777777777778,0.08037825059101655,0.09219858156028368,0.08392434988179669,0.04166666666666663,-0.007588075880758827
A0,real,17,stroma,24,24,0.23076923076923078,0.125,0.16216216216216217,0.8966666666666666,0.42333333333333334,endothelium,endothelium,3,10,21,0.23076923076923078,0.125,0.16216216216216217,0.01773049645390071,0.02127659574468085,0.018912529550827423,-0.04166666666666666,-0.04296604296604295
A0,real,17,epithelium,24,24,0.5769230769230769,0.625,0.6,0.9333333333333333,0.42333333333333334,tumor,tumor,15,11,9,0.5769230769230769,0.625,0.6,0.09929078014184398,0.10638297872340426,0.10165484633569741,0.04166666666666663,0.016666666666666607
A0,real,17,endothelium,24,24,0.17073170731707318,0.2916666666666667,0.2153846153846154,0.83,0.42333333333333334,lymphocyte,stroma,7,34,17,0.17073170731707318,0.2916666666666667,0.21538461538461542,0.034278959810874705,0.04964539007092199,0.03900709219858156,0.0,-0.014123581336696084
A0,real,17,apoptosis,24,23,0.375,0.25,0.3,0.9066666666666666,0.42333333333333334,tumor,tumor,6,10,19,0.375,0.24,0.2926829268292683,0.03900709219858156,0.0425531914893617,0.04018912529550827,-0.041666666666666685,-0.025581395348837244
A0,real,29,tumor,71,57,0.5789473684210527,0.4647887323943662,0.515625,0.7933333333333333,0.41333333333333333,melanophage,epithelium,33,24,38,0.5789473684210527,0.4647887323943662,0.515625,0.20567375886524822,0.19148936170212766,0.19621749408983455,-0.014084507042253502,-0.007451923076923106
A0,real,29,lymphocyte,37,32,0.325,0.35135135135135137,0.33766233766233766,0.83,0.41333333333333333,histiocyte,histiocyte,13,27,24,0.325,0.35135135135135137,0.33766233766233766,0.054373522458628844,0.07092198581560284,0.05981087470449173,-0.02702702702702703,-0.030758714969241263
A0,real,29,plasma_cell,24,22,0.26666666666666666,0.3333333333333333,0.2962962962962963,0.8733333333333333,0.41333333333333333,tumor,tumor,8,22,16,0.26666666666666666,0.3333333333333333,0.2962962962962963,0.031914893617021274,0.0425531914893617,0.03522458628841608,-0.041666666666666685,-0.037037037037037035
A0,real,29,histiocyte,24,23,0.21875,0.2916666666666667,0.25,0.86,0.41333333333333333,lymphocyte,lymphocyte,7,25,17,0.21875,0.2916666666666667,0.25,0.040780141843971635,0.04964539007092199,0.04302600472813239,0.0,0.004385964912280715
A0,real,29,melanophage,24,24,0.5294117647058824,0.75,0.6206896551724138,0.9266666666666666,0.41333333333333333,histiocyte,tumor,18,16,6,0.5294117647058824,0.75,0.6206896551724139,0.10874704491725767,0.1276595744680851,0.11465721040189124,0.0,0.010520163646990044
A0,real,29,neutrophil,24,24,0.6,0.5,0.5454545454545454,0.9333333333333333,0.41333333333333333,tumor,apoptosis,12,8,12,0.6,0.5,0.5454545454545454,0.07446808510638298,0.0851063829787234,0.07801418439716311,0.0,-0.025974025974025983
A0,real,29,stroma,24,24,0.28,0.2916666666666667,0.2857142857142857,0.8833333333333333,0.41333333333333333,histiocyte,tumor,7,18,17,0.28,0.2916666666666667,0.2857142857142857,0.04964539007092199,0.04964539007092199,0.04964539007092199,0.0,0.011204481792717047
