id,class,support,semantic_P,semantic_R,semantic_F1,one_vs_rest_accuracy,global_accuracy,V17_TP,V17_FP,V17_FN,pooled_P,pooled_R,pooled_F1,ROI_P,ROI_R,ROI_F1
p3_A0_real_s17_cv0,tumor,19,0.48148148148148145,0.6842105263157895,0.5652173913043478,0.782608695652174,0.43478260869565216,13,14,6,0.48148148148148145,0.6842105263157895,0.5652173913043478,0.22826086956521738,0.25,0.23188405797101447
p3_A0_real_s17_cv0,lymphocyte,13,0.4666666666666667,0.5384615384615384,0.5,0.8478260869565217,0.43478260869565216,7,8,6,0.4666666666666667,0.5384615384615384,0.5,0.13043478260869565,0.15217391304347827,0.13768115942028986
p3_A0_real_s17_cv0,plasma_cell,11,0.6,0.2727272727272727,0.375,0.8913043478260869,0.43478260869565216,3,2,8,0.6,0.2727272727272727,0.37499999999999994,0.03623188405797101,0.043478260869565216,0.0391304347826087
p3_A0_real_s17_cv0,histiocyte,7,0.0,0.0,0.0,0.8913043478260869,0.43478260869565216,0,3,7,0.0,0.0,0.0,0.0,0.0,0.0
p3_A0_real_s17_cv0,melanophage,7,0.5454545454545454,0.8571428571428571,0.6666666666666666,0.9347826086956522,0.43478260869565216,6,5,1,0.5454545454545454,0.8571428571428571,0.6666666666666665,0.11956521739130435,0.13043478260869565,0.12318840579710146
p3_A0_real_s17_cv0,neutrophil,5,0.3333333333333333,0.2,0.25,0.9347826086956522,0.43478260869565216,1,2,4,0.3333333333333333,0.2,0.25,0.021739130434782608,0.021739130434782608,0.021739130434782608
p3_A0_real_s17_cv0,stroma,6,0.2222222222222222,0.3333333333333333,0.26666666666666666,0.8804347826086957,0.43478260869565216,2,7,4,0.2222222222222222,0.3333333333333333,0.26666666666666666,0.03260869565217391,0.043478260869565216,0.03623188405797101
p3_A0_real_s17_cv0,epithelium,12,0.75,0.5,0.6,0.9130434782608695,0.43478260869565216,6,2,6,0.75,0.5,0.6,0.11956521739130435,0.13043478260869565,0.12318840579710144
p3_A0_real_s17_cv0,endothelium,8,0.0,0.0,0.0,0.8695652173913043,0.43478260869565216,0,4,8,0.0,0.0,0.0,0.0,0.0,0.0
p3_A0_real_s17_cv0,apoptosis,4,0.2857142857142857,0.5,0.36363636363636365,0.9239130434782609,0.43478260869565216,2,5,2,0.2857142857142857,0.5,0.36363636363636365,0.043478260869565216,0.043478260869565216,0.043478260869565216
p3_A0_real_s17_cv1,tumor,28,0.5517241379310345,0.5714285714285714,0.5614035087719298,0.7706422018348624,0.3669724770642202,16,13,12,0.5517241379310345,0.5714285714285714,0.5614035087719299,0.22569444444444445,0.2604166666666667,0.23263888888888884
p3_A0_real_s17_cv1,lymphocyte,6,0.0,0.0,0.0,0.8623853211009175,0.3669724770642202,0,9,6,0.0,0.0,0.0,0.0,0.0,0.0
p3_A0_real_s17_cv1,plasma_cell,6,0.0,0.0,0.0,0.926605504587156,0.3669724770642202,0,2,6,0.0,0.0,0.0,0.0,0.0,0.0
p3_A0_real_s17_cv1,histiocyte,10,0.1111111111111111,0.1,0.10526315789473684,0.8440366972477065,0.3669724770642202,1,8,9,0.1111111111111111,0.1,0.10526315789473685,0.020833333333333332,0.020833333333333332,0.020833333333333332
p3_A0_real_s17_cv1,melanophage,12,0.5714285714285714,0.6666666666666666,0.6153846153846154,0.908256880733945,0.3669724770642202,8,6,4,0.5714285714285714,0.6666666666666666,0.6153846153846153,0.14583333333333334,0.16666666666666666,0.15277777777777776
p3_A0_real_s17_cv1,neutrophil,11,0.5555555555555556,0.45454545454545453,0.5,0.908256880733945,0.3669724770642202,5,4,6,0.5555555555555556,0.45454545454545453,0.5,0.09027777777777778,0.10416666666666667,0.09375
p3_A0_real_s17_cv1,stroma,8,0.0,0.0,0.0,0.908256880733945,0.3669724770642202,0,2,8,0.0,0.0,0.0,0.0,0.0,0.0
p3_A0_real_s17_cv1,epithelium,7,0.46153846153846156,0.8571428571428571,0.6,0.926605504587156,0.3669724770642202,6,7,1,0.46153846153846156,0.8571428571428571,0.6,0.11458333333333333,0.125,0.11805555555555554
p3_A0_real_s17_cv1,endothelium,9,0.1111111111111111,0.2222222222222222,0.14814814814814814,0.7889908256880734,0.3669724770642202,2,16,7,0.1111111111111111,0.2222222222222222,0.14814814814814814,0.041666666666666664,0.041666666666666664,0.041666666666666664
p3_A0_real_s17_cv1,apoptosis,12,0.5,0.16666666666666666,0.25,0.8899082568807339,0.3669724770642202,2,2,10,0.5,0.16666666666666666,0.25,0.03125,0.041666666666666664,0.03472222222222222
p3_A0_real_s17_cv2,tumor,24,0.8125,0.5416666666666666,0.65,0.8585858585858586,0.47474747474747475,13,3,11,0.8125,0.5416666666666666,0.65,0.2553191489361702,0.22340425531914893,0.23404255319148937
p3_A0_real_s17_cv2,lymphocyte,18,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.8383838383838383,0.47474747474747475,10,8,8,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.12411347517730496,0.14893617021276595,0.13333333333333333
p3_A0_real_s17_cv2,plasma_cell,7,0.2222222222222222,0.2857142857142857,0.25,0.8787878787878788,0.47474747474747475,2,7,5,0.2222222222222222,0.2857142857142857,0.25,0.02127659574468085,0.02127659574468085,0.02127659574468085
p3_A0_real_s17_cv2,histiocyte,7,0.1,0.14285714285714285,0.11764705882352941,0.8484848484848485,0.47474747474747475,1,9,6,0.1,0.14285714285714285,0.11764705882352941,0.02127659574468085,0.02127659574468085,0.02127659574468085
