architecture,control,ROI_F1_mean,ROI_F1_std,paired_delta_vs_A1,improved_seeds,roi_bootstrap_low,roi_bootstrap_high,parameters,decision,Accuracy_mean,BalancedAccuracy_mean,semantic_f1_mean,pooled_f1_mean,gap_mean
A0,real,0.07520882584712373,0.0003540841913106534,-0.0028920409771473615,0,-0.005934003152088259,7.919621749408789e-05,15370,not promoted,0.4166666666666667,0.4004409338916381,0.39366356537285485,0.39307491106733955,0.5104641897814006
A1,real,0.07810086682427109,0.0022395498347528853,0.0,0,0.0,0.0,15530,not promoted,0.4333333333333333,0.4156446939897644,0.4112778179736343,0.41064957168647337,0.5025083501082248
A2,placebo,0.07505122143420016,0.001180692699427368,-0.0030496453900709236,0,-0.005949566587864459,-0.00015740740740740851,15812,not promoted,0.4166666666666667,0.3995215285708243,0.392693214367316,0.3920989483895223,0.5134523803713207
A2,real,0.07684003152088259,0.001304384814298185,-0.0012608353033884967,1,-0.0034357762017336486,0.00077265563435776,15812,not promoted,0.4266666666666667,0.4069365139787675,0.4004963996060767,0.3999044271531127,0.5077335827066264
A2,shuffle,0.07552403467297085,0.0021216533734804495,-0.002576832151300242,0,-0.005792750197005516,0.000496650906225373,15812,not promoted,0.41888888888888887,0.4022427356934399,0.395092062815148,0.3945034085096326,0.5088006219099598
A3,placebo,0.07583924349881797,0.0007985506266692399,-0.002261623325453118,0,-0.005169424743892829,0.0004651300236406608,15540,not promoted,0.42,0.40228080192868926,0.39573701306134584,0.3951156468125494,0.5114766245147252
A3,real,0.07833727344365643,0.0007148450415241342,0.00023640661938534777,1,-0.0012452718676122933,0.0017572892040977146,15540,not promoted,0.4344444444444444,0.4161141775578396,0.40920740702301667,0.408610531596903,0.5013534387903861
A3,shuffle,0.07536643026004729,0.0010680243024185781,-0.0027344365642237994,0,-0.005871158392434989,0.00020488573680063036,15540,not promoted,0.4177777777777778,0.4009104174597133,0.39496768762416945,0.39436985414596776,0.5099513277144382
A4,placebo,0.07583924349881797,0.0007985506266692399,-0.002261623325453118,0,-0.005169424743892829,0.0004651300236406608,15533,not promoted,0.42,0.40228080192868926,0.39573701306134584,0.3951156468125494,0.5114766245147252
A4,real,0.07833727344365643,0.0007148450415241342,0.00023640661938534777,1,-0.0012452718676122933,0.0017572892040977146,15533,not promoted,0.4344444444444444,0.4161141775578396,0.40920740702301667,0.408610531596903,0.5019502569310639
A4,shuffle,0.07536643026004729,0.0010680243024185781,-0.0027344365642237994,0,-0.005871158392434989,0.00020488573680063036,15533,not promoted,0.4177777777777778,0.4009104174597133,0.3949695863102787,0.394371752832077,0.509984216636216
A5,placebo,0.07235618597320725,0.004535147426507449,-0.0057446808510638325,0,-0.010410953506698187,-0.0012056737588652484,27866,not promoted,0.4033333333333333,0.3846936725457852,0.3802200512910636,0.3796532415664347,0.5386248022237973
A5,real,0.08409771473601262,0.0032421625811143674,0.005996847911741529,3,0.0016142631993695832,0.01081205673758865,27866,eligible for one confirmation,0.4588888888888889,0.4389184959607495,0.43299595829102794,0.4323551802147409,0.4904925759795622
A5,shuffle,0.07339637509850276,0.0021951896015232194,-0.0047044917257683255,0,-0.00887352245862884,-0.0005433412135539806,27866,not promoted,0.4077777777777778,0.3882972761493888,0.38107986501121327,0.38061869734419956,0.5405064561856516
A6,placebo,0.07421591804570529,0.004229124348606001,-0.003884948778565799,0,-0.008306540583136327,0.00034672970843183657,50026,not promoted,0.4166666666666667,0.40460654316288114,0.39365898911215935,0.39303159252162106,0.4861760341893088
A6,real,0.07853427895981087,0.0030292351255838106,0.00043341213553979574,2,-0.003617415287628052,0.004452915681639083,50026,not promoted,0.44111111111111106,0.43039536014888125,0.4193380411783385,0.41873022808990523,0.4665521252623555
A6,shuffle,0.07543735224586288,0.0036652176086277004,-0.0026635145784081973,1,-0.0074864066193853435,0.0019938928289992114,50026,not promoted,0.4222222222222222,0.4119824049401514,0.3992411429435645,0.39867862377477364,0.4756790365682706
B0,real,0.02888100866824271,0.0005586070480204048,-0.04921985815602838,0,-0.06023739164696611,-0.03862588652482272,210,diagnostic only,0.15666666666666668,0.17308875777185637,0.1421980980069988,0.14198058804612726,0.013819549594355328
B1,real,0.07717100078802207,0.0005830830806520396,-0.0009298660362490191,1,-0.0037825059101654845,0.0019312450748620936,15450,diagnostic only,0.42777777777777776,0.41065220149727194,0.40469040783804683,0.4040491218390674,0.5116732832667052
B2,real,0.07883372734436564,0.0010652297941398318,0.0007328605200945526,1,-0.0013396375098502758,0.0029944838455476753,15430,diagnostic only,0.4366666666666667,0.41840396734762936,0.4130876503894874,0.4124520602905127,0.4973187576007847
B3,placebo,0.07464933018124509,0.0005911741318679612,-0.0034515366430259986,0,-0.006486997635933806,-0.0005358550039401102,15570,diagnostic only,0.41444444444444445,0.3972317387810345,0.3906389231589593,0.39009680469066904,0.5203098307234876
B3,real,0.08101654846335699,0.0018928775528213706,0.002915681639085894,3,0.0005516154452324665,0.005594956658786446,15570,diagnostic only,0.4477777777777778,0.4291032229412511,0.42468876673673245,0.42405136713856945,0.49899187855377974
