model,seed,class,support,positive_ROIs,semantic_P,semantic_R,semantic_F1,one_vs_rest_accuracy,global_accuracy,ROI_P,ROI_R,ROI_F1,pooled_P,pooled_R,pooled_F1,TP,FP,FN,dominant_FN,dominant_FP
A1,17,tumor,39,26,0.5882352941176471,0.7692307692307693,0.6666666666666666,0.8,0.5933333333333334,0.42041666666666666,0.4958333333333333,0.44023809523809526,0.5882352941176471,0.7692307692307693,0.6666666666666667,30,21,9,apoptosis,apoptosis
A1,17,lymphocyte,15,13,0.46153846153846156,0.4,0.42857142857142855,0.8933333333333333,0.5933333333333334,0.125,0.1375,0.125,0.46153846153846156,0.4,0.42857142857142855,6,7,9,tumor,tumor
A1,17,plasma_cell,12,12,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.9333333333333333,0.5933333333333334,0.1625,0.175,0.16666666666666666,0.5833333333333334,0.5833333333333334,0.5833333333333334,7,5,5,melanophage,lymphocyte
A1,17,histiocyte,12,9,0.5,0.16666666666666666,0.25,0.92,0.5933333333333334,0.0375,0.025,0.029166666666666664,0.5,0.16666666666666666,0.25,2,2,10,tumor,lymphocyte
A1,17,melanophage,12,10,0.45,0.75,0.5625,0.9066666666666666,0.5933333333333334,0.14583333333333331,0.175,0.15416666666666665,0.45,0.75,0.5625000000000001,9,11,3,tumor,plasma_cell
A1,17,neutrophil,12,4,0.8461538461538461,0.9166666666666666,0.88,0.98,0.5933333333333334,0.0725,0.0725,0.0725,0.8461538461538461,0.8461538461538461,0.8461538461538461,11,2,2,tumor,stroma
A1,17,stroma,12,12,0.7,0.5833333333333334,0.6363636363636364,0.9466666666666667,0.5933333333333334,0.1625,0.175,0.16666666666666666,0.7,0.5833333333333334,0.6363636363636365,7,3,5,tumor,tumor
A1,17,epithelium,12,5,0.75,0.75,0.75,0.96,0.5933333333333334,0.05,0.05,0.05,0.75,0.75,0.75,9,3,3,tumor,tumor
A1,17,endothelium,12,12,0.6,0.5,0.5454545454545454,0.9333333333333333,0.5933333333333334,0.1375,0.15,0.14166666666666666,0.6,0.5,0.5454545454545454,6,4,6,melanophage,lymphocyte
A1,17,apoptosis,12,12,0.4,0.16666666666666666,0.23529411764705882,0.9133333333333333,0.5933333333333334,0.05,0.05,0.05,0.4,0.16666666666666666,0.23529411764705882,2,3,10,tumor,tumor
A5,17,tumor,39,26,0.6458333333333334,0.7948717948717948,0.7126436781609196,0.8333333333333334,0.6066666666666667,0.4416666666666666,0.5208333333333333,0.46595238095238106,0.6458333333333334,0.7948717948717948,0.7126436781609194,31,17,8,apoptosis,apoptosis
A5,17,lymphocyte,15,13,0.46153846153846156,0.4,0.42857142857142855,0.8933333333333333,0.6066666666666667,0.1375,0.1375,0.1375,0.46153846153846156,0.4,0.42857142857142855,6,7,9,plasma_cell,stroma
