architecture,seed,uid,class,category,classification_delta,dice,iou,area_relative_error,correction_norm,index
A3,17,training_set_metastatic_roi_001:187,apoptosis,both_wrong,0,0.819672131147541,0.6944444444444444,0.3964285714285714,0.6005808711051941,0
A3,17,training_set_metastatic_roi_002:710,plasma_cell,both_wrong,0,0.9443882709807887,0.8946360153256705,0.07773109243697479,0.8045700788497925,1
A3,17,training_set_metastatic_roi_003:139,tumor,both_correct,0,0.9731833910034602,0.9477674810446504,0.039016115351993216,0.05962333083152771,2
A3,17,training_set_metastatic_roi_004:432,tumor,both_correct,0,0.9296567248171075,0.868559411146162,0.13144058885383805,0.3061673939228058,3
A3,17,training_set_metastatic_roi_008:120,apoptosis,both_wrong,0,0.8398791540785498,0.7239583333333334,0.018292682926829267,0.04934866353869438,9
A3,17,training_set_metastatic_roi_010:117,stroma,both_wrong,0,0.9285714285714286,0.8666666666666667,0.0856610800744879,0.07486595213413239,10
A3,17,training_set_metastatic_roi_010:129,apoptosis,both_wrong,0,0.9072681704260651,0.8302752293577982,0.07272727272727272,0.2673324942588806,11
A3,17,training_set_metastatic_roi_011:217,melanophage,both_correct,0,0.898876404494382,0.8163265306122449,0.008605851979345954,0.4521598219871521,12
A3,17,training_set_metastatic_roi_011:265,tumor,both_wrong,0,0.8411552346570397,0.7258566978193146,0.3776824034334764,0.2929081916809082,13
A3,17,training_set_metastatic_roi_012:305,tumor,both_correct,0,0.8713450292397661,0.772020725388601,0.2953020134228188,0.10505185276269913,14
A3,17,training_set_metastatic_roi_014:372,apoptosis,both_wrong,0,0.9064143007360673,0.8288461538461539,0.17115384615384616,0.3187350630760193,15
A3,17,training_set_metastatic_roi_015:113,tumor,both_correct,0,0.9282533399307273,0.866112650046168,0.13388734995383195,0.21831725537776947,16
A3,17,training_set_metastatic_roi_016:40,tumor,both_correct,0,0.934322033898305,0.8767395626242545,0.038876889848812095,0.364772230386734,17
A3,17,training_set_metastatic_roi_016:199,stroma,both_wrong,0,0.9470468431771895,0.8994197292069632,0.04158004158004158,0.2518957555294037,18
A3,17,training_set_metastatic_roi_016:289,apoptosis,both_correct,0,0.9484808454425363,0.9020100502512562,0.04896907216494845,0.24723085761070251,19
A3,17,training_set_metastatic_roi_016:370,plasma_cell,both_wrong,0,0.7988748241912799,0.6651053864168618,0.27007299270072993,0.22534918785095215,20
A3,17,training_set_metastatic_roi_017:598,plasma_cell,both_correct,0,0.45651173492867003,0.29576624925462136,0.7042337507453786,0.14920493960380554,21
A3,17,training_set_metastatic_roi_017:599,plasma_cell,both_correct,0,0.6621803499327052,0.4949698189134809,0.5050301810865191,0.2778529226779938,22
A3,17,training_set_metastatic_roi_017:608,apoptosis,both_wrong,0,0.19501133786848074,0.10804020100502512,0.8919597989949749,0.2303772270679474,23
A3,17,training_set_metastatic_roi_018:120,neutrophil,both_wrong,0,0.8760563380281691,0.7794486215538847,0.2829581993569132,0.23131294548511505,24
A3,17,training_set_metastatic_roi_020:84,tumor,both_correct,0,0.9622641509433962,0.9272727272727272,0.0,0.6493825912475586,25
