family,seed,ROI_F1,ROI_P,ROI_R,pooled_F1,semantic_F1,accuracy,balanced_accuracy,NLL,ECE15,parameters,gap,runtime_seconds
A0,17,0.08602836879432625,0.08498817966903072,0.09066193853427897,0.43428442389334776,0.4348381337493832,0.4666666666666667,0.44226145159243746,1.5907955169677734,0.10177652190128962,27866,0.4907534254026109,3.3830233000335284
A0,29,0.08035460992907803,0.07884160756501182,0.08569739952718676,0.4216664411139238,0.42243174723637267,0.44333333333333336,0.43110804466438274,1.5952727794647217,0.11124763270219168,27866,0.4989163173458966,3.2910878999973647
A0,43,0.08591016548463357,0.08486997635933806,0.08995271867612294,0.44111467563695095,0.44171799388732796,0.4666666666666667,0.44338599162542824,1.612762451171875,0.1022884581486384,27866,0.48180798519017914,3.358999899966875
A1,17,0.10163120567375886,0.10106382978723405,0.10390070921985814,0.5161792079262675,0.5172903190373785,0.5366666666666666,0.5127030199213298,1.4315924644470215,0.13333215037981666,27866,0.44064016185446336,2.331893199996557
A1,29,0.10377575143532589,0.10289598108747045,0.10721040189125294,0.5421163616879372,0.5430597579143523,0.55,0.534886118512879,1.4200941324234009,0.1497840255498886,27866,0.4217814781860502,2.1821517999924254
A1,43,0.0997872340425532,0.0991725768321513,0.10283687943262412,0.5139217518225951,0.5148468212027988,0.5233333333333333,0.5129250729602842,1.4620287418365479,0.14344721948107086,27866,0.43146211427871267,2.2423850999912247
A1_broken,17,0.05387706855791963,0.053605200945626486,0.05697399527186762,0.24821224848572526,0.248700053363774,0.2966666666666667,0.2482838472275092,2.3229987621307373,0.229936191936334,27866,0.7349080930682618,2.2245710999995936
A1_broken,29,0.05278959810874706,0.053250591016548464,0.05496453900709221,0.251664692163869,0.2521272268539707,0.29,0.2513228016749144,2.318629741668701,0.24014832685391108,27866,0.7314797933265881,2.1357108999800403
A1_broken,43,0.053073286052009463,0.0524822695035461,0.05567375886524824,0.2512468325744092,0.2516696655553817,0.29,0.25261705367339166,2.305443048477173,0.2202108073234558,27866,0.7235032279195709,2.1641923999995925
A2,17,0.10576156703816278,0.1043144208037825,0.10992907801418442,0.5446361690852666,0.5458543307685445,0.5666666666666667,0.5433923359979697,1.3835372924804688,0.16432539214690525,27866,0.40374403263708114,2.3315203999809455
A2,29,0.1088112124282337,0.10750591016548464,0.11217494089834515,0.5645079154326802,0.5656059546483665,0.5766666666666667,0.5654612358837711,1.3321120738983154,0.12807267685731252,27866,0.38806317688053893,2.2185396999993827
A2,43,0.10539007092198582,0.10425531914893615,0.10898345153664302,0.5448121740402116,0.5457783576150907,0.56,0.5436730744829337,1.3666850328445435,0.14150698433319728,27866,0.4066846997877059,2.2174493000202347
A2_broken,17,0.06898345153664302,0.06749408983451535,0.0735224586288416,0.34874812049526344,0.349354181101324,0.38333333333333336,0.34395064078162674,2.060879945755005,0.20214659377932548,27866,0.6061266918251272,2.1542718000127934
