family,ROI_F1_mean,ROI_F1_sd,delta_vs_A5,positive_seeds,bootstrap_low,bootstrap_high,control_advantage,parameters,promoted
A0,0.08409771473601262,0.0032421625811143674,0.0,0,0.0,0.0,,27866,False
A1,0.10173139705054597,0.0019961454060512304,0.017633682314533366,3,0.006668270854441071,0.02852200833051897,0.04848474614432059,27866,True
A1_broken,0.05324665090622538,0.000564082905222164,-0.030851063829787233,0,-0.04245862884160756,-0.018636327817178888,,27866,False
A2,0.1066542834627941,0.0018771678834211662,0.022556568726781485,3,0.012306822019587979,0.03332443994146122,0.03746594618935045,27866,True
A2_broken,0.06918833727344365,0.0006625011680688243,-0.014909377462568965,0,-0.0269269109535067,-0.0023319542947202593,,27866,False
A3,0.10875830237532368,0.00404174524471271,0.02466058763931105,3,0.013820612405718788,0.03609149499043116,0.05020038275357426,27866,True
A3_broken,0.058557919621749416,0.002858761157433871,-0.0255397951142632,0,-0.03710815602836879,-0.013585303388494879,,27866,False
A4,0.10468647979286277,0.0030843226669976962,0.02058876505685016,3,0.011812197455814482,0.029449622875154798,0.018268602949454024,27866,True
A4_broken,0.08641787684340875,0.005137303584695099,0.002320162107396148,2,-0.0069868569177079795,0.01178987954519868,,27866,False
B1,0.08433412135539797,0.002967664311686452,0.00023640661938535237,2,-0.0013396375098502758,0.0017336485421591806,-5.516154452323008e-05,40234,False
B2,0.08572892040977148,0.0036822813218344223,0.0016312056737588648,3,-2.3640661938534358e-05,0.003420015760441292,0.0013396375098502777,40234,False
B_duplicate,0.0843892828999212,0.0031453039677459904,0.0002915681639085917,2,-0.0007328605200945628,0.0013711583924349879,,40234,False
