index,uid,class,Dice,IoU,predicted_area,GT_area
9,training_set_metastatic_roi_008:120,apoptosis,0.5587734241908007,0.3877068557919622,423,164
36,training_set_metastatic_roi_026:12,tumor,0.9398854961832062,0.8865886588658866,1020,1076
37,training_set_metastatic_roi_026:115,tumor,0.9553327256153145,0.9144851657940664,553,544
38,training_set_metastatic_roi_026:403,histiocyte,0.8811410459587956,0.7875354107648725,681,581
39,training_set_metastatic_roi_026:414,lymphocyte,0.6609442060085837,0.4935897435897436,468,231
40,training_set_metastatic_roi_026:503,neutrophil,0.8292682926829268,0.7083333333333334,428,392
41,training_set_metastatic_roi_026:508,plasma_cell,0.890892696122633,0.8032520325203252,611,498
42,training_set_metastatic_roi_027:97,stroma,0.9433224755700326,0.8927250308261405,746,789
43,training_set_metastatic_roi_027:106,neutrophil,0.8406779661016949,0.7251461988304093,334,256
44,training_set_metastatic_roi_027:150,tumor,0.9400630914826499,0.8869047619047619,641,627
45,training_set_metastatic_roi_027:154,neutrophil,0.6545454545454545,0.4864864864864865,370,180
46,training_set_metastatic_roi_027:174,apoptosis,0.8172661870503597,0.6909975669099757,408,287
47,training_set_metastatic_roi_027:237,neutrophil,0.5817490494296578,0.4101876675603217,373,153
48,training_set_metastatic_roi_027:241,neutrophil,0.6876404494382022,0.523972602739726,292,153
49,training_set_metastatic_roi_027:268,neutrophil,0.7420382165605095,0.589873417721519,395,233
50,training_set_metastatic_roi_027:348,histiocyte,0.6844919786096256,0.5203252032520326,246,128
51,training_set_metastatic_roi_027:386,neutrophil,0.8664850136239782,0.7644230769230769,564,537
52,training_set_metastatic_roi_027:387,neutrophil,0.8182831661092531,0.6924528301886792,523,374
53,training_set_metastatic_roi_027:392,neutrophil,0.6732919254658385,0.5074906367041199,527,278
54,training_set_metastatic_roi_027:426,neutrophil,0.823076923076923,0.6993464052287581,416,364
66,training_set_metastatic_roi_032:288,plasma_cell,0.9408060453400504,0.8882282996432818,763,825
72,training_set_metastatic_roi_037:276,tumor,0.7970065481758652,0.6625194401244168,643,426
73,training_set_metastatic_roi_037:432,neutrophil,0.7898789878987899,0.6527272727272727,549,360
83,training_set_metastatic_roi_043:38,stroma,0.6564885496183206,0.48863636363636365,264,129
84,training_set_metastatic_roi_043:57,histiocyte,0.8222424794895169,0.6981424148606811,621,476
85,training_set_metastatic_roi_043:132,tumor,0.7247579529737206,0.5683297180043384,451,272
86,training_set_metastatic_roi_043:187,tumor,0.6833948339483394,0.5190582959641256,926,1784
87,training_set_metastatic_roi_043:229,plasma_cell,0.8922863099374566,0.8055207026348808,680,759
89,training_set_metastatic_roi_046:335,neutrophil,0.9440203562340967,0.8939759036144578,405,381
90,training_set_metastatic_roi_046:426,apoptosis,0.8690807799442897,0.7684729064039408,363,355
124,training_set_metastatic_roi_062:384,neutrophil,0.8946894689468947,0.8094462540716613,549,562
127,training_set_metastatic_roi_064:53,tumor,0.9367238320520402,0.8809788654060067,899,792
128,training_set_metastatic_roi_064:160,lymphocyte,0.8708644610458911,0.7712665406427222,529,408
129,training_set_metastatic_roi_064:345,plasma_cell,0.8174097664543525,0.6912028725314183,1114,770
130,training_set_metastatic_roi_064:437,histiocyte,0.8725017229496899,0.773838630806846,803,648
131,training_set_metastatic_roi_064:626,endothelium,0.8492822966507177,0.738045738045738,885,787
132,training_set_metastatic_roi_065:145,tumor,0.7936802973977695,0.6579352850539292,649,427
133,training_set_metastatic_roi_065:328,neutrophil,0.8769657724329325,0.7808896210873146,604,477
134,training_set_metastatic_roi_065:532,plasma_cell,0.8415492957746479,0.7264437689969605,649,487
144,training_set_metastatic_roi_071:61,lymphocyte,0.9323943661971831,0.8733509234828496,371,339
145,training_set_metastatic_roi_071:399,plasma_cell,0.7337807606263982,0.5795053003533569,909,879
146,training_set_metastatic_roi_072:111,neutrophil,0.8006872852233677,0.667621776504298,685,479
147,training_set_metastatic_roi_072:374,plasma_cell,0.6641580432737535,0.4971830985915493,710,353
148,training_set_metastatic_roi_072:524,lymphocyte,0.5217391304347826,0.35294117647058826,476,168
149,training_set_metastatic_roi_072:529,endothelium,0.808231173380035,0.6781778104335048,1166,1118
161,training_set_metastatic_roi_080:11,lymphocyte,0.8595505617977528,0.7536945812807881,406,306
162,training_set_metastatic_roi_080:96,tumor,0.9393079977311402,0.8855614973262033,859,904
163,training_set_metastatic_roi_080:218,lymphocyte,0.2731614135625597,0.1581858407079646,904,143
164,training_set_metastatic_roi_080:283,melanophage,0.672926447574335,0.5070754716981132,424,215
165,training_set_metastatic_roi_080:306,plasma_cell,0.886031560490941,0.7953830010493179,787,924
166,training_set_metastatic_roi_080:310,melanophage,0.8303393213572854,0.7098976109215017,826,677
172,training_set_metastatic_roi_086:32,melanophage,0.6509090909090909,0.48247978436657685,740,360
173,training_set_metastatic_roi_086:455,neutrophil,0.6072374227714034,0.43599493029150826,781,352
200,training_set_primary_roi_002:159,stroma,0.8660436137071651,0.7637362637362637,725,559
214,training_set_primary_roi_009:114,lymphocyte,0.9556135770234987,0.915,384,382
215,training_set_primary_roi_009:132,tumor,0.9559902200488998,0.9156908665105387,419,399
223,training_set_primary_roi_013:22,epithelium,0.8740480374926772,0.7762747138397502,918,789
224,training_set_primary_roi_013:104,histiocyte,0.7420349434737924,0.5898692810457516,599,374
225,training_set_primary_roi_013:443,neutrophil,0.6051712089447938,0.4338677354709419,433,998
226,training_set_primary_roi_014:140,tumor,0.9752941176470589,0.9517795637198623,845,855
227,training_set_primary_roi_014:230,plasma_cell,0.9161931818181818,0.8453473132372215,712,696
228,training_set_primary_roi_015:301,tumor,0.9471810089020771,0.8996617812852311,839,846
229,training_set_primary_roi_015:452,endothelium,0.9096774193548387,0.834319526627219,661,579
230,training_set_primary_roi_016:73,tumor,0.8331892826274849,0.7140740740740741,663,494
231,training_set_primary_roi_016:95,lymphocyte,0.5950960901259112,0.4235849056603774,1060,449
232,training_set_primary_roi_016:498,histiocyte,0.8668846333489024,0.765045342126958,1173,968
233,training_set_primary_roi_016:542,melanophage,0.8325581395348837,0.7131474103585658,499,361
234,training_set_primary_roi_017:168,lymphocyte,0.6222222222222222,0.45161290322580644,434,196
235,training_set_primary_roi_018:27,plasma_cell,0.9292763157894737,0.8678955453149002,649,567
249,training_set_primary_roi_025:247,melanophage,0.8547786512205213,0.7463872832369942,1119,1298
250,training_set_primary_roi_025:265,apoptosis,0.9125248508946322,0.8391224862888482,531,475
251,training_set_primary_roi_025:283,neutrophil,0.9014869888475836,0.8206429780033841,493,583
252,training_set_primary_roi_026:39,endothelium,0.8787618228718831,0.7837423312883436,595,568
253,training_set_primary_roi_026:175,histiocyte,0.929421094369548,0.8681481481481481,636,625
254,training_set_primary_roi_026:201,histiocyte,0.8714408973252804,0.77217125382263,652,507
255,training_set_primary_roi_026:219,epithelium,0.8551068883610451,0.7468879668049793,476,366
256,training_set_primary_roi_026:252,melanophage,0.8640569395017793,0.7606516290726817,672,733
271,training_set_primary_roi_033:46,epithelium,0.9336225596529284,0.8755085435313262,1143,1162
272,training_set_primary_roi_033:248,endothelium,0.9154293092317625,0.844047619047619,827,722
273,training_set_primary_roi_033:307,plasma_cell,0.8911319394376351,0.8036410923276983,747,640
274,training_set_primary_roi_033:345,melanophage,0.9489953632148377,0.9029411764705882,635,659
275,training_set_primary_roi_033:364,stroma,0.6684210526315789,0.5019762845849802,506,254
282,training_set_primary_roi_037:140,plasma_cell,0.7323232323232324,0.5776892430278885,251,145
283,training_set_primary_roi_037:198,stroma,0.9122807017543859,0.8387096774193549,386,355
284,training_set_primary_roi_037:245,melanophage,0.9265536723163842,0.8631578947368421,717,699
289,training_set_primary_roi_041:6,melanophage,0.9244444444444444,0.859504132231405,573,552
290,training_set_primary_roi_041:402,stroma,0.31516587677725116,0.18706047819971872,711,133
310,training_set_primary_roi_048:16,melanophage,0.6297117516629712,0.459546925566343,618,284
311,training_set_primary_roi_048:173,histiocyte,0.9359861591695502,0.8796747967479674,599,557
312,training_set_primary_roi_048:432,endothelium,0.9204633204633205,0.8526466380543634,699,596
313,training_set_primary_roi_048:693,apoptosis,0.47030878859857483,0.30745341614906835,322,99
314,training_set_primary_roi_048:796,neutrophil,0.7461629279811098,0.5951035781544256,346,501
315,training_set_primary_roi_049:221,endothelium,0.5286839145106862,0.35932721712538224,654,235
316,training_set_primary_roi_049:364,plasma_cell,0.7626339969372129,0.6163366336633663,403,250
318,training_set_primary_roi_052:127,histiocyte,0.9145077720207254,0.8424821002386634,821,723
319,training_set_primary_roi_052:130,plasma_cell,0.8769716088328076,0.7808988764044944,355,279
320,training_set_primary_roi_052:557,apoptosis,0.4844961240310077,0.319693094629156,391,125
321,training_set_primary_roi_052:633,neutrophil,0.4712939160239931,0.30829596412556054,873,294
332,training_set_primary_roi_057:198,stroma,0.8342361863488624,0.7156133828996283,532,391
333,training_set_primary_roi_057:203,neutrophil,0.8183807439824945,0.6925925925925925,538,376
334,training_set_primary_roi_057:233,lymphocyte,0.8542458808618505,0.745575221238938,449,340
335,training_set_primary_roi_057:440,lymphocyte,0.5751633986928104,0.4036697247706422,545,220
336,training_set_primary_roi_057:659,histiocyte,0.5473856209150327,0.37682789651293586,889,335
337,training_set_primary_roi_057:679,apoptosis,0.6834319526627219,0.5191011235955056,443,233
343,training_set_primary_roi_060:80,tumor,0.7730263157894737,0.6300268096514745,742,474
344,training_set_primary_roi_060:132,histiocyte,0.8221105527638191,0.6979522184300341,586,409
345,training_set_primary_roi_060:314,neutrophil,0.8643533123028391,0.7611111111111111,558,710
360,training_set_primary_roi_070:56,tumor,0.9033315128345166,0.8237051792828686,975,856
361,training_set_primary_roi_070:134,melanophage,0.8786407766990292,0.7835497835497836,888,760
362,training_set_primary_roi_070:206,endothelium,0.6922629435718441,0.5293594306049823,1124,595
363,training_set_primary_roi_070:238,histiocyte,0.650472334682861,0.482,499,242
364,training_set_primary_roi_070:325,lymphocyte,0.7317708333333334,0.5770020533880903,487,281
365,training_set_primary_roi_070:420,melanophage,0.8224414303329223,0.6984293193717277,868,754
366,training_set_primary_roi_070:463,plasma_cell,0.8998609179415855,0.8179519595448799,791,647
367,training_set_primary_roi_070:487,apoptosis,0.27770700636942675,0.16124260355029585,676,109
368,training_set_primary_roi_070:525,tumor,0.7310513447432763,0.5761078998073218,506,312
371,training_set_primary_roi_074:68,epithelium,0.8786610878661087,0.7835820895522388,663,532
372,training_set_primary_roi_074:476,lymphocyte,0.2280431432973806,0.12869565217391304,575,74
379,training_set_primary_roi_080:13,lymphocyte,0.7051792828685259,0.5446153846153846,325,177
380,training_set_primary_roi_080:545,stroma,0.6038135593220338,0.4324734446130501,593,351
381,training_set_primary_roi_080:547,tumor,0.5787631271878646,0.4072249589490969,607,250
384,training_set_primary_roi_082:65,endothelium,0.8854766474728087,0.7944890929965557,871,692
385,training_set_primary_roi_082:189,melanophage,0.8228915662650602,0.6990788126919141,958,702
386,training_set_primary_roi_082:230,neutrophil,0.8637236084452975,0.7601351351351351,497,545
387,training_set_primary_roi_082:249,apoptosis,0.9147286821705426,0.8428571428571429,249,267
388,training_set_primary_roi_083:18,lymphocyte,0.9057971014492754,0.8278145695364238,443,385
389,training_set_primary_roi_083:86,histiocyte,0.723404255319149,0.5666666666666667,591,349
390,training_set_primary_roi_083:450,histiocyte,0.9085365853658537,0.8324022346368715,519,465
391,training_set_primary_roi_083:561,melanophage,0.9257232212666145,0.8617176128093159,687,592
392,training_set_primary_roi_083:623,endothelium,0.729776247848537,0.5745257452574526,1104,639
393,training_set_primary_roi_083:780,tumor,0.8820662768031189,0.7890148212728858,963,1089
405,training_set_primary_roi_090:10,lymphocyte,0.8952134540750324,0.810304449648712,426,347
406,training_set_primary_roi_090:80,stroma,0.8359046283309958,0.7180722891566265,406,307
407,training_set_primary_roi_090:143,melanophage,0.8150208623087621,0.687793427230047,426,293
408,training_set_primary_roi_090:161,epithelium,0.5857740585774058,0.41420118343195267,676,280
409,training_set_primary_roi_090:356,endothelium,0.5774473358116481,0.4059233449477352,560,247
414,training_set_primary_roi_094:139,lymphocyte,0.9049773755656109,0.8264462809917356,339,324
415,training_set_primary_roi_094:257,apoptosis,0.4748201438848921,0.3113207547169811,424,132
416,training_set_primary_roi_094:475,tumor,0.94,0.8867924528301887,728,672
417,training_set_primary_roi_094:608,neutrophil,0.8402625820568927,0.7245283018867924,395,519
424,training_set_primary_roi_098:338,stroma,0.6635404454865181,0.4964912280701754,570,283
425,training_set_primary_roi_099:52,melanophage,0.8083916083916084,0.6784037558685446,852,578
426,training_set_primary_roi_099:184,histiocyte,0.7991761071060762,0.6655231560891939,583,388
427,training_set_primary_roi_099:521,neutrophil,0.9511400651465798,0.906832298136646,470,451
428,training_set_primary_roi_100:57,stroma,0.8404669260700389,0.7248322147651006,447,324
429,training_set_primary_roi_100:74,histiocyte,0.7253414264036419,0.569047619047619,417,242
430,training_set_primary_roi_100:97,epithelium,0.7827130852340937,0.6429980276134122,507,326
431,training_set_primary_roi_100:140,plasma_cell,0.9714285714285714,0.9444444444444444,482,498
432,training_set_primary_roi_100:168,histiocyte,0.927170868347339,0.8642297650130548,726,702
433,training_set_primary_roi_100:214,lymphocyte,0.9029345372460497,0.823045267489712,465,421
434,training_set_primary_roi_100:256,tumor,0.687089715536105,0.5233333333333333,893,478
435,training_set_primary_roi_100:357,lymphocyte,0.5726141078838174,0.4011627906976744,516,207
436,training_set_primary_roi_101:57,stroma,0.12173913043478261,0.06481481481481481,540,35
