family,seed,class,support,predicted_count,precision,recall,f1,ROI_F1,TP,FP,FN,f1_score
A0,17,tumor,71,65,0.6153846153846154,0.5633802816901409,0.5882352941176471,0.2328605200945627,40,25,31,0.5882352941176471
A0,17,lymphocyte,37,40,0.525,0.5675675675675675,0.5454545454545454,0.12293144208037826,21,19,16,0.5454545454545455
A0,17,plasma_cell,24,17,0.35294117647058826,0.25,0.2926829268292683,0.026950354609929075,6,11,18,0.2926829268292683
A0,17,histiocyte,24,23,0.2608695652173913,0.25,0.2553191489361702,0.04018912529550828,6,17,18,0.2553191489361702
A0,17,melanophage,24,34,0.5,0.7083333333333334,0.5862068965517241,0.10638297872340424,17,17,7,0.5862068965517241
A0,17,neutrophil,24,20,0.75,0.625,0.6818181818181818,0.1016548463356974,15,5,9,0.6818181818181818
A0,17,stroma,24,17,0.29411764705882354,0.20833333333333334,0.24390243902439024,0.030732860520094562,5,12,19,0.24390243902439027
A0,17,epithelium,24,24,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.09692671394799056,14,10,10,0.5833333333333334
A0,17,endothelium,24,42,0.2619047619047619,0.4583333333333333,0.3333333333333333,0.06855791962174941,11,31,13,0.33333333333333337
A0,17,apoptosis,24,18,0.2777777777777778,0.2,0.23809523809523808,0.03309692671394799,5,13,20,0.23255813953488372
A0,29,tumor,71,55,0.6181818181818182,0.4788732394366197,0.5396825396825397,0.20567375886524827,34,21,37,0.5396825396825397
A0,29,lymphocyte,37,39,0.5128205128205128,0.5405405405405406,0.5263157894736842,0.10520094562647754,20,19,17,0.5263157894736842
A0,29,plasma_cell,24,27,0.3333333333333333,0.375,0.35294117647058826,0.039952718676122934,9,18,15,0.35294117647058826
A0,29,histiocyte,24,38,0.23684210526315788,0.375,0.2903225806451613,0.05791962174940898,9,29,15,0.2903225806451613
A0,29,melanophage,24,35,0.4857142857142857,0.7083333333333334,0.576271186440678,0.10756501182033097,17,18,7,0.576271186440678
A0,29,neutrophil,24,19,0.5789473684210527,0.4583333333333333,0.5116279069767442,0.07328605200945626,11,8,13,0.5116279069767442
A0,29,stroma,24,22,0.2727272727272727,0.25,0.2608695652173913,0.04018912529550828,6,16,18,0.2608695652173913
A0,29,epithelium,24,23,0.5652173913043478,0.5416666666666666,0.5531914893617021,0.08747044917257682,13,10,11,0.5531914893617021
A0,29,endothelium,24,18,0.2777777777777778,0.20833333333333334,0.23809523809523808,0.03309692671394799,5,13,19,0.2380952380952381
A0,29,apoptosis,24,24,0.375,0.36,0.375,0.05319148936170213,9,15,16,0.3673469387755102
A0,43,tumor,71,66,0.5757575757575758,0.5352112676056338,0.5547445255474452,0.2198581560283688,38,28,33,0.5547445255474452
A0,43,lymphocyte,37,45,0.5333333333333333,0.6486486486486487,0.5853658536585366,0.13711583924349882,24,21,13,0.5853658536585367
A0,43,plasma_cell,24,15,0.4666666666666667,0.2916666666666667,0.358974358974359,0.02931442080378251,7,8,17,0.35897435897435903
A0,43,histiocyte,24,20,0.25,0.20833333333333334,0.22727272727272727,0.03546099290780142,5,15,19,0.22727272727272727
A0,43,melanophage,24,27,0.5555555555555556,0.625,0.5882352941176471,0.09929078014184398,15,12,9,0.5882352941176471
A0,43,neutrophil,24,19,0.6842105263157895,0.5416666666666666,0.6046511627906976,0.08628841607565012,13,6,11,0.6046511627906976
A0,43,stroma,24,24,0.2916666666666667,0.2916666666666667,0.2916666666666667,0.04728132387706856,7,17,17,0.2916666666666667
A0,43,epithelium,24,24,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.08747044917257682,13,11,11,0.5416666666666666
A0,43,endothelium,24,33,0.30303030303030304,0.4166666666666667,0.3508771929824561,0.06619385342789598,10,23,14,0.3508771929824562
A0,43,apoptosis,24,27,0.2962962962962963,0.32,0.3137254901960784,0.050827423167848704,8,19,17,0.30769230769230765
A1,17,tumor,71,70,0.6142857142857143,0.6056338028169014,0.6099290780141844,0.24822695035460993,43,27,28,0.6099290780141844
A1,17,lymphocyte,37,48,0.5625,0.7297297297297297,0.6352941176470588,0.15484633569739953,27,21,10,0.6352941176470588
A1,17,plasma_cell,24,27,0.4074074074074074,0.4583333333333333,0.43137254901960786,0.06004728132387707,11,16,13,0.4313725490196078
A1,17,histiocyte,24,23,0.30434782608695654,0.2916666666666667,0.2978723404255319,0.04728132387706856,7,16,17,0.2978723404255319
A1,17,melanophage,24,20,0.8,0.6666666666666666,0.7272727272727273,0.11347517730496454,16,4,8,0.7272727272727272
A1,17,neutrophil,24,22,0.7272727272727273,0.6666666666666666,0.6956521739130435,0.11347517730496454,16,6,8,0.6956521739130435
A1,17,stroma,24,25,0.36,0.375,0.3673469387755102,0.06146572104018913,9,16,15,0.3673469387755102
A1,17,epithelium,24,20,0.55,0.4583333333333333,0.5,0.07801418439716312,11,9,13,0.5
A1,17,endothelium,24,25,0.4,0.4166666666666667,0.40816326530612246,0.06382978723404255,10,15,14,0.4081632653061225
A1,17,apoptosis,24,20,0.55,0.44,0.5,0.07565011820330969,11,9,14,0.48888888888888893
A1,29,tumor,71,69,0.5942028985507246,0.5774647887323944,0.5857142857142857,0.22671394799054378,41,28,30,0.5857142857142856
A1,29,lymphocyte,37,50,0.54,0.7297297297297297,0.6206896551724138,0.15146909827760893,27,23,10,0.6206896551724138
A1,29,plasma_cell,24,18,0.6666666666666666,0.5,0.5714285714285714,0.06855791962174941,12,6,12,0.5714285714285715
A1,29,histiocyte,24,32,0.3125,0.4166666666666667,0.35714285714285715,0.06619385342789598,10,22,14,0.35714285714285715
A1,29,melanophage,24,19,0.7368421052631579,0.5833333333333334,0.6511627906976745,0.09929078014184398,14,5,10,0.6511627906976745
A1,29,neutrophil,24,21,0.8095238095238095,0.7083333333333334,0.7555555555555555,0.12056737588652482,17,4,7,0.7555555555555556
A1,29,stroma,24,29,0.3793103448275862,0.4583333333333333,0.41509433962264153,0.07565011820330969,11,18,13,0.4150943396226415
A1,29,epithelium,24,18,0.6111111111111112,0.4583333333333333,0.5238095238095238,0.07801418439716312,11,7,13,0.5238095238095238
A1,29,endothelium,24,16,0.5625,0.375,0.45,0.06146572104018913,9,7,15,0.45
A1,29,apoptosis,24,28,0.4642857142857143,0.52,0.5,0.08983451536643025,13,15,12,0.49056603773584906
A1,43,tumor,71,70,0.5571428571428572,0.5492957746478874,0.5531914893617021,0.22671394799054376,39,31,32,0.5531914893617021
A1,43,lymphocyte,37,42,0.5476190476190477,0.6216216216216216,0.5822784810126582,0.1340425531914894,23,19,14,0.5822784810126581
A1,43,plasma_cell,24,22,0.5,0.4583333333333333,0.4782608695652174,0.06382978723404255,11,11,13,0.4782608695652174
A1,43,histiocyte,24,23,0.2608695652173913,0.25,0.2553191489361702,0.037825059101654845,6,17,18,0.2553191489361702
A1,43,melanophage,24,20,0.8,0.6666666666666666,0.7272727272727273,0.1111111111111111,16,4,8,0.7272727272727272
A1,43,neutrophil,24,22,0.6818181818181818,0.625,0.6521739130434783,0.10401891252955082,15,7,9,0.6521739130434783
A1,43,stroma,24,27,0.4074074074074074,0.4583333333333333,0.43137254901960786,0.07210401891252954,11,16,13,0.4313725490196078
A1,43,epithelium,24,30,0.5,0.625,0.5555555555555556,0.10638297872340426,15,15,9,0.5555555555555556
A1,43,endothelium,24,22,0.5,0.4583333333333333,0.4782608695652174,0.07328605200945627,11,11,13,0.4782608695652174
A1,43,apoptosis,24,22,0.45454545454545453,0.4,0.43478260869565216,0.06855791962174941,10,12,15,0.4255319148936171
A1_broken,17,tumor,71,76,0.4868421052631579,0.5211267605633803,0.5034013605442177,0.20969267139479908,37,39,34,0.5034013605442176
A1_broken,17,lymphocyte,37,46,0.30434782608695654,0.3783783783783784,0.3373493975903614,0.08203309692671393,14,32,23,0.3373493975903615
A1_broken,17,plasma_cell,24,24,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.02718676122931442,5,19,19,0.20833333333333334
A1_broken,17,histiocyte,24,22,0.13636363636363635,0.125,0.13043478260869565,0.02127659574468085,3,19,21,0.13043478260869565
A1_broken,17,melanophage,24,25,0.2,0.20833333333333334,0.20408163265306123,0.030732860520094562,5,20,19,0.20408163265306126
A1_broken,17,neutrophil,24,17,0.35294117647058826,0.25,0.2926829268292683,0.04018912529550827,6,11,18,0.2926829268292683
A1_broken,17,stroma,24,21,0.0,0.0,0.0,0.0,0,21,24,0.0
A1_broken,17,epithelium,24,23,0.43478260869565216,0.4166666666666667,0.425531914893617,0.06855791962174941,10,13,14,0.425531914893617
A1_broken,17,endothelium,24,30,0.16666666666666666,0.20833333333333334,0.18518518518518517,0.030732860520094562,5,25,19,0.1851851851851852
A1_broken,17,apoptosis,24,16,0.25,0.16,0.2,0.028368794326241134,4,12,21,0.19512195121951217
A1_broken,29,tumor,71,76,0.4605263157894737,0.49295774647887325,0.47619047619047616,0.19479905437352252,35,41,36,0.4761904761904762
A1_broken,29,lymphocyte,37,35,0.2857142857142857,0.2702702702702703,0.2777777777777778,0.05721040189125297,10,25,27,0.2777777777777778
A1_broken,29,plasma_cell,24,23,0.2608695652173913,0.25,0.2553191489361702,0.03664302600472813,6,17,18,0.2553191489361702
A1_broken,29,histiocyte,24,29,0.20689655172413793,0.25,0.22641509433962265,0.04018912529550827,6,23,18,0.22641509433962265
A1_broken,29,melanophage,24,25,0.24,0.25,0.24489795918367346,0.04018912529550827,6,19,18,0.24489795918367346
A1_broken,29,neutrophil,24,17,0.29411764705882354,0.20833333333333334,0.24390243902439024,0.03309692671394799,5,12,19,0.24390243902439027
A1_broken,29,stroma,24,22,0.0,0.0,0.0,0.0,0,22,24,0.0
A1_broken,29,epithelium,24,23,0.43478260869565216,0.4166666666666667,0.425531914893617,0.06855791962174941,10,13,14,0.425531914893617
A1_broken,29,endothelium,24,28,0.14285714285714285,0.16666666666666666,0.15384615384615385,0.024113475177304965,4,24,20,0.15384615384615383
A1_broken,29,apoptosis,24,22,0.22727272727272727,0.2,0.21739130434782608,0.03309692671394799,5,17,20,0.21276595744680854
A1_broken,43,tumor,71,74,0.4594594594594595,0.4788732394366197,0.4689655172413793,0.19574468085106383,34,40,37,0.46896551724137936
A1_broken,43,lymphocyte,37,41,0.2682926829268293,0.2972972972972973,0.28205128205128205,0.06548463356973995,11,30,26,0.28205128205128205
A1_broken,43,plasma_cell,24,30,0.3,0.375,0.3333333333333333,0.04846335697399527,9,21,15,0.33333333333333326
A1_broken,43,histiocyte,24,19,0.21052631578947367,0.16666666666666666,0.18604651162790697,0.026004728132387706,4,15,20,0.186046511627907
A1_broken,43,melanophage,24,19,0.15789473684210525,0.125,0.13953488372093023,0.018912529550827423,3,16,21,0.13953488372093023
A1_broken,43,neutrophil,24,28,0.2857142857142857,0.3333333333333333,0.3076923076923077,0.05437352245862884,8,20,16,0.30769230769230765
A1_broken,43,stroma,24,22,0.045454545454545456,0.041666666666666664,0.043478260869565216,0.0070921985815602835,1,21,23,0.043478260869565216
A1_broken,43,epithelium,24,19,0.47368421052631576,0.375,0.4186046511627907,0.06146572104018913,9,10,15,0.4186046511627907
A1_broken,43,endothelium,24,29,0.13793103448275862,0.16666666666666666,0.1509433962264151,0.024822695035460994,4,25,20,0.1509433962264151
A1_broken,43,apoptosis,24,19,0.21052631578947367,0.16,0.18604651162790697,0.028368794326241134,4,15,21,0.1818181818181818
A2,17,tumor,71,68,0.6764705882352942,0.647887323943662,0.6618705035971223,0.2647754137115839,46,22,25,0.6618705035971224
A2,17,lymphocyte,37,48,0.5416666666666666,0.7027027027027027,0.611764705882353,0.13468422830124957,26,22,11,0.611764705882353
A2,17,plasma_cell,24,23,0.4782608695652174,0.4583333333333333,0.46808510638297873,0.05768321513002364,11,12,13,0.4680851063829787
A2,17,histiocyte,24,21,0.2857142857142857,0.25,0.26666666666666666,0.04018912529550828,6,15,18,0.26666666666666666
A2,17,melanophage,24,24,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.11820330969267137,17,7,7,0.7083333333333334
A2,17,neutrophil,24,20,0.8,0.6666666666666666,0.7272727272727273,0.11347517730496454,16,4,8,0.7272727272727272
