training,class,bin,seed_events,unique_nuclei,conditional_accuracy
C_GTTRAIN,tumor,0–2,27,9,0.48148148148148145
C_GTTRAIN,tumor,2–5,9,3,0.4444444444444444
C_GTTRAIN,tumor,5–10,0,0,
C_GTTRAIN,tumor,10–15,0,0,
C_GTTRAIN,tumor,>15,0,0,
C_GTTRAIN,lymphocyte,0–2,21,7,0.38095238095238093
C_GTTRAIN,lymphocyte,2–5,6,2,0.5
C_GTTRAIN,lymphocyte,5–10,0,0,
C_GTTRAIN,lymphocyte,10–15,0,0,
C_GTTRAIN,lymphocyte,>15,0,0,
C_GTTRAIN,plasma_cell,0–2,18,6,0.4444444444444444
C_GTTRAIN,plasma_cell,2–5,0,0,
C_GTTRAIN,plasma_cell,5–10,6,2,1.0
C_GTTRAIN,plasma_cell,10–15,0,0,
C_GTTRAIN,plasma_cell,>15,0,0,
C_GTTRAIN,histiocyte,0–2,18,6,0.5555555555555556
C_GTTRAIN,histiocyte,2–5,6,2,0.5
C_GTTRAIN,histiocyte,5–10,0,0,
C_GTTRAIN,histiocyte,10–15,0,0,
C_GTTRAIN,histiocyte,>15,0,0,
C_GTTRAIN,melanophage,0–2,9,3,1.0
C_GTTRAIN,melanophage,2–5,12,4,0.9166666666666666
C_GTTRAIN,melanophage,5–10,3,1,1.0
C_GTTRAIN,melanophage,10–15,0,0,
C_GTTRAIN,melanophage,>15,0,0,
C_GTTRAIN,neutrophil,0–2,18,6,0.7777777777777778
C_GTTRAIN,neutrophil,2–5,12,4,0.8333333333333334
C_GTTRAIN,neutrophil,5–10,6,2,1.0
C_GTTRAIN,neutrophil,10–15,0,0,
C_GTTRAIN,neutrophil,>15,0,0,
C_GTTRAIN,stroma,0–2,12,4,0.25
C_GTTRAIN,stroma,2–5,0,0,
C_GTTRAIN,stroma,5–10,0,0,
C_GTTRAIN,stroma,10–15,0,0,
C_GTTRAIN,stroma,>15,0,0,
C_GTTRAIN,epithelium,0–2,12,4,0.16666666666666666
C_GTTRAIN,epithelium,2–5,0,0,
C_GTTRAIN,epithelium,5–10,0,0,
C_GTTRAIN,epithelium,10–15,0,0,
C_GTTRAIN,epithelium,>15,0,0,
C_GTTRAIN,endothelium,0–2,15,5,0.6
C_GTTRAIN,endothelium,2–5,3,1,0.0
C_GTTRAIN,endothelium,5–10,0,0,
C_GTTRAIN,endothelium,10–15,0,0,
C_GTTRAIN,endothelium,>15,0,0,
C_GTTRAIN,apoptosis,0–2,6,2,0.8333333333333334
C_GTTRAIN,apoptosis,2–5,6,2,0.3333333333333333
C_GTTRAIN,apoptosis,5–10,0,0,
C_GTTRAIN,apoptosis,10–15,0,0,
C_GTTRAIN,apoptosis,>15,0,0,
C_GTTRAIN,ALL,0–2,156,52,0.5192307692307693
C_GTTRAIN,ALL,2–5,54,18,0.6111111111111112
C_GTTRAIN,ALL,5–10,15,5,1.0
C_GTTRAIN,ALL,10–15,0,0,
C_GTTRAIN,ALL,>15,0,0,
C_STAGE1TRAIN,tumor,0–2,27,9,0.5185185185185185
C_STAGE1TRAIN,tumor,2–5,9,3,0.4444444444444444
C_STAGE1TRAIN,tumor,5–10,0,0,
C_STAGE1TRAIN,tumor,10–15,0,0,
C_STAGE1TRAIN,tumor,>15,0,0,
C_STAGE1TRAIN,lymphocyte,0–2,21,7,0.5238095238095238
C_STAGE1TRAIN,lymphocyte,2–5,6,2,0.5
C_STAGE1TRAIN,lymphocyte,5–10,0,0,
C_STAGE1TRAIN,lymphocyte,10–15,0,0,
C_STAGE1TRAIN,lymphocyte,>15,0,0,
C_STAGE1TRAIN,plasma_cell,0–2,18,6,0.4444444444444444
C_STAGE1TRAIN,plasma_cell,2–5,0,0,
C_STAGE1TRAIN,plasma_cell,5–10,6,2,1.0
C_STAGE1TRAIN,plasma_cell,10–15,0,0,
C_STAGE1TRAIN,plasma_cell,>15,0,0,
C_STAGE1TRAIN,histiocyte,0–2,18,6,0.5
C_STAGE1TRAIN,histiocyte,2–5,6,2,0.5
C_STAGE1TRAIN,histiocyte,5–10,0,0,
