representation,fold,mean_cosine_to_CLS,train_withinclass_cosine_otherROI,train_betweenclass_cosine_otherROI,centroid_scatter_ratio,held5NNpurity
CLS,0,1.0,0.5029960870742798,0.48041871190071106,0.12466831068334101,0.26086956521739124
CLS,1,1.0,0.5155046582221985,0.4822268486022949,0.1370890146265285,0.25137614678899084
CLS,2,1.0,0.5186086297035217,0.48678481578826904,0.1147833985807227,0.30101010101010106
A1,0,0.08315000683069229,0.3917238116264343,0.2979907691478729,0.22606281277580176,0.43043478260869567
A1,1,0.08492325246334076,0.39620447158813477,0.3033874034881592,0.21886262561718275,0.41651376146789
A1,2,0.08159206807613373,0.4022359848022461,0.3107448220252991,0.21673665509229786,0.4242424242424243
A2,0,0.11459340155124664,0.45216014981269836,0.3556937575340271,0.2502759849802763,0.43913043478260877
A2,1,0.11649367958307266,0.45641082525253296,0.35923340916633606,0.24671488704183525,0.4458715596330275
A2,2,0.11593925952911377,0.4593748450279236,0.3628633916378021,0.2368828837784893,0.4464646464646465
A3,0,0.09495143592357635,0.42001283168792725,0.32021060585975647,0.24641518894466788,0.43478260869565233
A3,1,0.09950264543294907,0.42092445492744446,0.32354435324668884,0.2382279752433488,0.4293577981651377
A3,2,0.09653841704130173,0.4294620454311371,0.3309737741947174,0.2337324241872476,0.4343434343434345
A4,0,0.7464431524276733,0.47965705394744873,0.41824281215667725,0.19552793352429254,0.4239130434782609
A4,1,0.747053861618042,0.4879923462867737,0.4211633503437042,0.19965163511485862,0.436697247706422
A4,2,0.7468942999839783,0.48939889669418335,0.42450979351997375,0.1801068127996748,0.46868686868686865
