,recall,recall,recall,recall,F1,F1,F1,F1
,mean,std,min,max,mean,std,min,max
class_name,,,,,,,,
apoptosis,0.34259259259259256,0.1789458156489601,0.1666666666666666,0.75,0.3096592491329333,0.09050425696906354,0.1818181818181818,0.4285714285714285
endothelium,0.38359788359788355,0.3186408481517383,0.0,0.8571428571428571,0.2717621884288551,0.1419857848930213,0.0,0.4444444444444444
epithelium,0.5865079365079365,0.19312885034211516,0.3333333333333333,0.8571428571428571,0.5536343830461478,0.07158208704598869,0.4444444444444444,0.6666666666666666
histiocyte,0.2841269841269841,0.1937077069632529,0.1,0.7142857142857143,0.2831327958139552,0.1791546107748401,0.0869565217391304,0.625
lymphocyte,0.5204178537511871,0.19794419918508047,0.3076923076923077,0.7777777777777778,0.48898749497933974,0.20187520333554798,0.25,0.8
melanophage,0.7087301587301587,0.164035350982287,0.5,1.0,0.5844433344433344,0.05697858536867283,0.5,0.6666666666666666
neutrophil,0.503030303030303,0.2009115333047758,0.2,0.75,0.5566859066859067,0.20896798380700055,0.25,0.8571428571428571
plasma_cell,0.2905242905242905,0.1107961794942046,0.1666666666666666,0.5454545454545454,0.32218386188974424,0.09799849164309178,0.1428571428571428,0.4615384615384615
stroma,0.25092592592592594,0.11535305440470064,0.0,0.375,0.2565138565138565,0.1164780144755745,0.0,0.4
tumor,0.5348092453355611,0.0930777334060577,0.3928571428571428,0.6842105263157895,0.563083202169986,0.057363128573836575,0.5,0.65
