run_id,scope,metric,peak_epoch,peak,final,peak_to_final_degradation,selection_status
p3_A5_real_s17_cv0,CV,semantic_F1,9,0.46136494058551325,0.39724870657797484,0.06411623400753841,retrospective diagnostic only
p3_A5_real_s17_cv0,CV,ROI_F1,7,0.08797101449275362,0.07999999999999999,0.007971014492753628,retrospective diagnostic only
p3_A5_real_s17_cv1,CV,semantic_F1,10,0.385980396415179,0.385980396415179,0.0,retrospective diagnostic only
p3_A5_real_s17_cv1,CV,ROI_F1,10,0.08645833333333333,0.08645833333333333,0.0,retrospective diagnostic only
p3_A5_real_s17_cv2,CV,semantic_F1,6,0.5244954598205371,0.4797403576815342,0.04475510213900291,retrospective diagnostic only
p3_A5_real_s17_cv2,CV,ROI_F1,9,0.09858156028368793,0.09148936170212765,0.00709219858156028,retrospective diagnostic only
p3_A5_real_s29_cv0,CV,semantic_F1,9,0.4666911976911976,0.42724762080025236,0.03944357689094524,retrospective diagnostic only
p3_A5_real_s29_cv0,CV,ROI_F1,8,0.09311594202898552,0.08289855072463767,0.010217391304347845,retrospective diagnostic only
p3_A5_real_s29_cv1,CV,semantic_F1,6,0.40993642868287894,0.3296897546897547,0.08024667399312424,retrospective diagnostic only
p3_A5_real_s29_cv1,CV,ROI_F1,6,0.09097222222222222,0.07048611111111111,0.020486111111111108,retrospective diagnostic only
p3_A5_real_s29_cv2,CV,semantic_F1,9,0.5296783785019079,0.45315562360372336,0.07652275489818455,retrospective diagnostic only
p3_A5_real_s29_cv2,CV,ROI_F1,9,0.09829787234042552,0.08794326241134752,0.010354609929077996,retrospective diagnostic only
p3_A5_real_s43_cv0,CV,semantic_F1,6,0.4292706781004654,0.4241137685843568,0.005156909516108588,retrospective diagnostic only
p3_A5_real_s43_cv0,CV,ROI_F1,6,0.08579710144927535,0.08144927536231884,0.0043478260869565105,retrospective diagnostic only
p3_A5_real_s43_cv1,CV,semantic_F1,10,0.3934948065079511,0.3934948065079511,0.0,retrospective diagnostic only
p3_A5_real_s43_cv1,CV,ROI_F1,8,0.08472222222222223,0.0826388888888889,0.002083333333333326,retrospective diagnostic only
p3_A5_real_s43_cv2,CV,semantic_F1,10,0.4804066109329267,0.4804066109329267,0.0,retrospective diagnostic only
p3_A5_real_s43_cv2,CV,ROI_F1,10,0.09361702127659574,0.09361702127659574,0.0,retrospective diagnostic only
p3_confirm_A5_s17,confirmation,semantic_F1,10,0.565542450844175,0.565542450844175,0.0,retrospective diagnostic only
p3_confirm_A5_s17,confirmation,ROI_F1,10,0.1455119047619048,0.1455119047619048,0.0,retrospective diagnostic only
p3_confirm_A5_s29,confirmation,semantic_F1,7,0.5971359082363581,0.5741634753740466,0.022972432862311543,retrospective diagnostic only
p3_confirm_A5_s29,confirmation,ROI_F1,7,0.15523809523809523,0.1451547619047619,0.010083333333333333,retrospective diagnostic only
p3_confirm_A5_s43,confirmation,semantic_F1,10,0.5761960403817878,0.5761960403817878,0.0,retrospective diagnostic only
p3_confirm_A5_s43,confirmation,ROI_F1,10,0.1405297619047619,0.1405297619047619,0.0,retrospective diagnostic only
