class_name,roi,n_events,unique_nuclei,CLS_correct,local_correct,delta_correct
apoptosis,training_set_metastatic_roi_023,3,1,0,0,0
apoptosis,training_set_metastatic_roi_027,3,1,1,0,-1
apoptosis,training_set_metastatic_roi_029,3,1,1,3,2
apoptosis,training_set_metastatic_roi_030,3,1,0,1,1
apoptosis,training_set_metastatic_roi_045,3,1,0,3,3
apoptosis,training_set_metastatic_roi_052,3,1,3,3,0
apoptosis,training_set_metastatic_roi_060,3,1,0,3,3
apoptosis,training_set_metastatic_roi_090,3,1,0,0,0
apoptosis,training_set_primary_roi_056,3,1,3,3,0
apoptosis,training_set_primary_roi_070,3,1,0,2,2
apoptosis,training_set_primary_roi_082,3,1,1,3,2
apoptosis,training_set_primary_roi_094,3,1,2,3,1
endothelium,training_set_metastatic_roi_005,3,1,0,0,0
endothelium,training_set_metastatic_roi_007,3,1,3,3,0
endothelium,training_set_metastatic_roi_052,3,1,2,3,1
endothelium,training_set_metastatic_roi_064,3,1,0,0,0
endothelium,training_set_primary_roi_006,3,1,0,0,0
endothelium,training_set_primary_roi_026,3,1,3,3,0
endothelium,training_set_primary_roi_033,3,1,3,3,0
endothelium,training_set_primary_roi_053,3,1,3,3,0
endothelium,training_set_primary_roi_070,3,1,0,0,0
endothelium,training_set_primary_roi_082,3,1,0,3,3
endothelium,training_set_primary_roi_090,3,1,3,0,-3
endothelium,training_set_primary_roi_103,3,1,0,0,0
epithelium,training_set_primary_roi_026,3,1,0,0,0
epithelium,training_set_primary_roi_033,3,1,3,3,0
epithelium,training_set_primary_roi_090,3,1,3,0,-3
epithelium,training_set_primary_roi_100,3,1,0,0,0
epithelium,training_set_primary_roi_103,24,8,24,15,-9
histiocyte,training_set_metastatic_roi_027,3,1,0,0,0
histiocyte,training_set_metastatic_roi_043,3,1,1,1,0
histiocyte,training_set_metastatic_roi_064,3,1,0,0,0
histiocyte,training_set_primary_roi_006,3,1,1,2,1
histiocyte,training_set_primary_roi_026,6,2,1,0,-1
histiocyte,training_set_primary_roi_046,6,2,3,3,0
histiocyte,training_set_primary_roi_053,3,1,0,3,3
histiocyte,training_set_primary_roi_070,3,1,0,0,0
histiocyte,training_set_primary_roi_100,6,2,3,0,-3
lymphocyte,training_set_metastatic_roi_007,3,1,0,0,0
lymphocyte,training_set_metastatic_roi_030,3,1,0,0,0
lymphocyte,training_set_metastatic_roi_052,3,1,0,3,3
lymphocyte,training_set_metastatic_roi_064,3,1,1,3,2
lymphocyte,training_set_metastatic_roi_080,6,2,2,3,1
lymphocyte,training_set_metastatic_roi_098,3,1,3,3,0
lymphocyte,training_set_metastatic_roi_099,3,1,0,0,0
lymphocyte,training_set_primary_roi_009,3,1,3,3,0
lymphocyte,training_set_primary_roi_046,3,1,3,3,0
lymphocyte,training_set_primary_roi_070,3,1,2,3,1
lymphocyte,training_set_primary_roi_090,3,1,3,0,-3
lymphocyte,training_set_primary_roi_094,3,1,0,0,0
lymphocyte,training_set_primary_roi_100,6,2,4,4,0
melanophage,training_set_metastatic_roi_041,3,1,0,3,3
melanophage,training_set_metastatic_roi_042,3,1,3,3,0
melanophage,training_set_metastatic_roi_048,3,1,0,2,2
melanophage,training_set_metastatic_roi_080,6,2,6,4,-2
melanophage,training_set_primary_roi_006,3,1,0,3,3
melanophage,training_set_primary_roi_026,3,1,3,3,0
melanophage,training_set_primary_roi_033,3,1,2,3,1
melanophage,training_set_primary_roi_070,6,2,6,6,0
melanophage,training_set_primary_roi_082,3,1,3,3,0
melanophage,training_set_primary_roi_090,3,1,2,3,1
neutrophil,training_set_metastatic_roi_027,27,9,27,21,-6
neutrophil,training_set_metastatic_roi_065,3,1,3,3,0
neutrophil,training_set_primary_roi_082,3,1,3,3,0
neutrophil,training_set_primary_roi_094,3,1,1,3,2
plasma_cell,training_set_metastatic_roi_030,3,1,3,3,0
plasma_cell,training_set_metastatic_roi_041,3,1,0,0,0
plasma_cell,training_set_metastatic_roi_043,3,1,2,2,0
plasma_cell,training_set_metastatic_roi_064,3,1,3,3,0
plasma_cell,training_set_metastatic_roi_065,3,1,3,3,0
plasma_cell,training_set_metastatic_roi_079,3,1,0,3,3
plasma_cell,training_set_metastatic_roi_080,3,1,0,3,3
plasma_cell,training_set_metastatic_roi_098,3,1,3,3,0
plasma_cell,training_set_primary_roi_014,3,1,0,0,0
plasma_cell,training_set_primary_roi_033,3,1,2,0,-2
plasma_cell,training_set_primary_roi_070,3,1,3,3,0
plasma_cell,training_set_primary_roi_100,3,1,0,0,0
stroma,training_set_metastatic_roi_005,3,1,3,0,-3
stroma,training_set_metastatic_roi_006,3,1,3,0,-3
stroma,training_set_metastatic_roi_027,3,1,0,3,3
stroma,training_set_metastatic_roi_043,3,1,0,3,3
stroma,training_set_metastatic_roi_076,3,1,3,0,-3
stroma,training_set_primary_roi_006,3,1,1,0,-1
stroma,training_set_primary_roi_033,3,1,0,0,0
stroma,training_set_primary_roi_046,3,1,3,1,-2
stroma,training_set_primary_roi_053,3,1,3,3,0
stroma,training_set_primary_roi_090,3,1,0,3,3
stroma,training_set_primary_roi_100,3,1,2,3,1
stroma,training_set_primary_roi_103,3,1,1,2,1
tumor,training_set_metastatic_roi_021,3,1,3,2,-1
tumor,training_set_metastatic_roi_027,3,1,3,3,0
tumor,training_set_metastatic_roi_029,12,4,9,7,-2
tumor,training_set_metastatic_roi_030,3,1,0,0,0
tumor,training_set_metastatic_roi_041,9,3,5,4,-1
tumor,training_set_metastatic_roi_042,3,1,2,0,-2
tumor,training_set_metastatic_roi_043,6,2,3,1,-2
tumor,training_set_metastatic_roi_048,3,1,3,2,-1
tumor,training_set_metastatic_roi_052,3,1,3,3,0
tumor,training_set_metastatic_roi_058,6,2,6,6,0
tumor,training_set_metastatic_roi_064,3,1,3,2,-1
tumor,training_set_metastatic_roi_065,3,1,3,3,0
tumor,training_set_metastatic_roi_070,9,3,7,7,0
tumor,training_set_metastatic_roi_076,3,1,0,0,0
tumor,training_set_metastatic_roi_079,6,2,6,3,-3
tumor,training_set_metastatic_roi_080,3,1,0,2,2
tumor,training_set_metastatic_roi_089,3,1,3,3,0
tumor,training_set_metastatic_roi_090,3,1,0,0,0
tumor,training_set_metastatic_roi_098,3,1,3,3,0
tumor,training_set_primary_roi_009,3,1,2,0,-2
tumor,training_set_primary_roi_014,3,1,3,3,0
tumor,training_set_primary_roi_046,3,1,1,0,-1
tumor,training_set_primary_roi_056,9,3,9,9,0
tumor,training_set_primary_roi_070,6,2,6,4,-2
tumor,training_set_primary_roi_094,3,1,3,3,0
tumor,training_set_primary_roi_100,3,1,3,3,0
