seed,true_class,predicted_class,support,CLS_count,local_count,delta_count
17,tumor,tumor,39,31,25,-6
17,tumor,lymphocyte,39,1,2,1
17,tumor,plasma_cell,39,0,1,1
17,tumor,histiocyte,39,1,4,3
17,tumor,melanophage,39,2,1,-1
17,tumor,neutrophil,39,0,0,0
17,tumor,stroma,39,0,0,0
17,tumor,epithelium,39,1,4,3
17,tumor,endothelium,39,0,1,1
17,tumor,apoptosis,39,3,1,-2
17,lymphocyte,tumor,15,2,0,-2
17,lymphocyte,lymphocyte,15,6,8,2
17,lymphocyte,plasma_cell,15,5,4,-1
17,lymphocyte,histiocyte,15,0,1,1
17,lymphocyte,melanophage,15,2,0,-2
17,lymphocyte,neutrophil,15,0,0,0
17,lymphocyte,stroma,15,0,1,1
17,lymphocyte,epithelium,15,0,0,0
17,lymphocyte,endothelium,15,0,0,0
17,lymphocyte,apoptosis,15,0,1,1
17,plasma_cell,tumor,12,1,0,-1
17,plasma_cell,lymphocyte,12,0,0,0
17,plasma_cell,plasma_cell,12,7,8,1
17,plasma_cell,histiocyte,12,0,4,4
17,plasma_cell,melanophage,12,3,0,-3
17,plasma_cell,neutrophil,12,0,0,0
17,plasma_cell,stroma,12,1,0,-1
17,plasma_cell,epithelium,12,0,0,0
17,plasma_cell,endothelium,12,0,0,0
17,plasma_cell,apoptosis,12,0,0,0
17,histiocyte,tumor,12,3,3,0
17,histiocyte,lymphocyte,12,1,3,2
17,histiocyte,plasma_cell,12,2,1,-1
17,histiocyte,histiocyte,12,2,2,0
17,histiocyte,melanophage,12,2,0,-2
17,histiocyte,neutrophil,12,0,0,0
17,histiocyte,stroma,12,0,0,0
17,histiocyte,epithelium,12,1,0,-1
17,histiocyte,endothelium,12,1,3,2
17,histiocyte,apoptosis,12,0,0,0
17,melanophage,tumor,12,2,0,-2
17,melanophage,lymphocyte,12,1,0,-1
17,melanophage,plasma_cell,12,0,1,1
17,melanophage,histiocyte,12,0,0,0
17,melanophage,melanophage,12,9,11,2
17,melanophage,neutrophil,12,0,0,0
17,melanophage,stroma,12,0,0,0
17,melanophage,epithelium,12,0,0,0
17,melanophage,endothelium,12,0,0,0
17,melanophage,apoptosis,12,0,0,0
17,neutrophil,tumor,12,1,0,-1
17,neutrophil,lymphocyte,12,0,0,0
17,neutrophil,plasma_cell,12,0,0,0
17,neutrophil,histiocyte,12,0,0,0
17,neutrophil,melanophage,12,0,0,0
17,neutrophil,neutrophil,12,11,9,-2
17,neutrophil,stroma,12,0,0,0
17,neutrophil,epithelium,12,0,0,0
17,neutrophil,endothelium,12,0,0,0
17,neutrophil,apoptosis,12,0,3,3
17,stroma,tumor,12,2,0,-2
17,stroma,lymphocyte,12,3,3,0
17,stroma,plasma_cell,12,0,1,1
17,stroma,histiocyte,12,0,0,0
17,stroma,melanophage,12,0,1,1
17,stroma,neutrophil,12,1,0,-1
17,stroma,stroma,12,5,5,0
17,stroma,epithelium,12,0,0,0
17,stroma,endothelium,12,1,1,0
17,stroma,apoptosis,12,0,1,1
17,epithelium,tumor,12,0,4,4
17,epithelium,lymphocyte,12,0,0,0
17,epithelium,plasma_cell,12,1,0,-1
17,epithelium,histiocyte,12,0,0,0
17,epithelium,melanophage,12,0,1,1
17,epithelium,neutrophil,12,1,0,-1
17,epithelium,stroma,12,0,1,1
17,epithelium,epithelium,12,10,6,-4
17,epithelium,endothelium,12,0,0,0
17,epithelium,apoptosis,12,0,0,0
17,endothelium,tumor,12,1,0,-1
17,endothelium,lymphocyte,12,0,0,0
17,endothelium,plasma_cell,12,0,0,0
17,endothelium,histiocyte,12,1,2,1
17,endothelium,melanophage,12,2,1,-1
17,endothelium,neutrophil,12,0,0,0
17,endothelium,stroma,12,0,2,2
17,endothelium,epithelium,12,1,1,0
17,endothelium,endothelium,12,6,6,0
17,endothelium,apoptosis,12,1,0,-1
17,apoptosis,tumor,12,5,1,-4
17,apoptosis,lymphocyte,12,1,0,-1
17,apoptosis,plasma_cell,12,1,1,0
17,apoptosis,histiocyte,12,0,0,0
17,apoptosis,melanophage,12,0,0,0
17,apoptosis,neutrophil,12,1,0,-1
17,apoptosis,stroma,12,0,1,1
17,apoptosis,epithelium,12,0,1,1
17,apoptosis,endothelium,12,0,0,0
17,apoptosis,apoptosis,12,4,8,4
29,tumor,tumor,39,28,22,-6
29,tumor,lymphocyte,39,0,2,2
29,tumor,plasma_cell,39,2,0,-2
29,tumor,histiocyte,39,0,2,2
29,tumor,melanophage,39,2,3,1
29,tumor,neutrophil,39,0,1,1
29,tumor,stroma,39,3,1,-2
29,tumor,epithelium,39,2,7,5
29,tumor,endothelium,39,2,0,-2
29,tumor,apoptosis,39,0,1,1
29,lymphocyte,tumor,15,3,0,-3
29,lymphocyte,lymphocyte,15,6,8,2
29,lymphocyte,plasma_cell,15,2,4,2
29,lymphocyte,histiocyte,15,0,1,1
29,lymphocyte,melanophage,15,2,0,-2
29,lymphocyte,neutrophil,15,0,0,0
29,lymphocyte,stroma,15,2,1,-1
29,lymphocyte,epithelium,15,0,0,0
29,lymphocyte,endothelium,15,0,0,0
29,lymphocyte,apoptosis,15,0,1,1
29,plasma_cell,tumor,12,1,1,0
29,plasma_cell,lymphocyte,12,0,0,0
29,plasma_cell,plasma_cell,12,7,8,1
29,plasma_cell,histiocyte,12,0,3,3
29,plasma_cell,melanophage,12,3,0,-3
29,plasma_cell,neutrophil,12,0,0,0
29,plasma_cell,stroma,12,1,0,-1
29,plasma_cell,epithelium,12,0,0,0
29,plasma_cell,endothelium,12,0,0,0
29,plasma_cell,apoptosis,12,0,0,0
29,histiocyte,tumor,12,3,3,0
29,histiocyte,lymphocyte,12,1,2,1
29,histiocyte,plasma_cell,12,0,2,2
29,histiocyte,histiocyte,12,2,3,1
29,histiocyte,melanophage,12,4,0,-4
29,histiocyte,neutrophil,12,0,0,0
29,histiocyte,stroma,12,1,0,-1
29,histiocyte,epithelium,12,1,0,-1
29,histiocyte,endothelium,12,0,2,2
29,histiocyte,apoptosis,12,0,0,0
29,melanophage,tumor,12,2,1,-1
