prompt,experiment_family,experiment_id,hypothesis,baseline,changed_variable,parameter_count,seeds,folds,epoch_budget,ROI_F1,delta,uncertainty,semantic_F1,per_class_harm,train_val_gap,control_result,decision,reason,validity_limitations,source
3,A0,p3_A0_real_s17_cv0,A0,Prompt2 A1,"{""id"": ""p3_A0_real_s17_cv0"", ""architecture"": ""A0"", ""control"": ""real"", ""seed"": 17, ""fold"": 0, ""epochs"": 10, ""lr"": 0.001, ""weight_decay"": 0.01, ""sampler"": ""balanced"", ""tau"": 0}",15370,17,0,10,0.07565217391304348,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,0.3587187088274045,"[0.6842105263157895, 0.5384615384615384, 0.2727272727272727, 0.0, 0.8571428571428571, 0.2, 0.3333333333333333, 0.5, 0.0, 0.5]",0.5470947453818458,real,historical; see aggregate family ledger,fixed endpoint; no new rerun,enriched development; ROI grouping only; full-proposal evaluation absent,PROMPT_3\ARCHITECTURES\A0\RESULTS\RUNS\p3_A0_real_s17_cv0\history.jsonl
3,A0,p3_A0_real_s17_cv1,A0,Prompt2 A1,"{""id"": ""p3_A0_real_s17_cv1"", ""architecture"": ""A0"", ""control"": ""real"", ""seed"": 17, ""fold"": 1, ""epochs"": 10, ""lr"": 0.001, ""weight_decay"": 0.01, ""sampler"": ""balanced"", ""tau"": 0}",15370,17,1,10,0.06944444444444443,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,0.27801994301994304,"[0.5714285714285714, 0.0, 0.0, 0.1, 0.6666666666666666, 0.45454545454545453, 0.0, 0.8571428571428571, 0.2222222222222222, 0.16666666666666666]",0.6012155740321306,real,historical; see aggregate family ledger,fixed endpoint; no new rerun,enriched development; ROI grouping only; full-proposal evaluation absent,PROMPT_3\ARCHITECTURES\A0\RESULTS\RUNS\p3_A0_real_s17_cv1\history.jsonl
3,A0,p3_A0_real_s17_cv2,A0,Prompt2 A1,"{""id"": ""p3_A0_real_s17_cv2"", ""architecture"": ""A0"", ""control"": ""real"", ""seed"": 17, ""fold"": 2, ""epochs"": 10, ""lr"": 0.001, ""weight_decay"": 0.01, ""sampler"": ""balanced"", ""tau"": 0}",15370,17,2,10,0.080354609929078,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,0.4401160930572695,"[0.5416666666666666, 0.5555555555555556, 0.2857142857142857, 0.14285714285714285, 0.6, 0.875, 0.1, 0.6, 0.7142857142857143, 0.25]",0.4549428413896698,real,historical; see aggregate family ledger,fixed endpoint; no new rerun,enriched development; ROI grouping only; full-proposal evaluation absent,PROMPT_3\ARCHITECTURES\A0\RESULTS\RUNS\p3_A0_real_s17_cv2\history.jsonl
3,A0,p3_A0_real_s29_cv0,A0,Prompt2 A1,"{""id"": ""p3_A0_real_s29_cv0"", ""architecture"": ""A0"", ""control"": ""real"", ""seed"": 29, ""fold"": 0, ""epochs"": 10, ""lr"": 0.001, ""weight_decay"": 0.01, ""sampler"": ""balanced"", ""tau"": 0}",15370,29,0,10,0.06405797101449275,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,0.32124409359703476,"[0.3684210526315789, 0.07692307692307693, 0.36363636363636365, 0.42857142857142855, 1.0, 0.2, 0.16666666666666666, 0.5, 0.125, 0.5]",0.559029898962308,real,historical; see aggregate family ledger,fixed endpoint; no new rerun,enriched development; ROI grouping only; full-proposal evaluation absent,PROMPT_3\ARCHITECTURES\A0\RESULTS\RUNS\p3_A0_real_s29_cv0\history.jsonl
3,A0,p3_A0_real_s29_cv1,A0,Prompt2 A1,"{""id"": ""p3_A0_real_s29_cv1"", ""architecture"": ""A0"", ""control"": ""real"", ""seed"": 29, ""fold"": 1, ""epochs"": 10, ""lr"": 0.001, ""weight_decay"": 0.01, ""sampler"": ""balanced"", ""tau"": 0}",15370,29,1,10,0.0753472222222222,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,0.3559501523630598,"[0.39285714285714285, 0.3333333333333333, 0.3333333333333333, 0.2, 0.5833333333333334, 0.5454545454545454, 0.25, 0.7142857142857143, 0.1111111111111111, 0.25]",0.5221883128479861,real,historical; see aggregate family ledger,fixed endpoint; no new rerun,enriched development; ROI grouping only; full-proposal evaluation absent,PROMPT_3\ARCHITECTURES\A0\RESULTS\RUNS\p3_A0_real_s29_cv1\history.jsonl
3,A0,p3_A0_real_s29_cv2,A0,Prompt2 A1,"{""id"": ""p3_A0_real_s29_cv2"", ""architecture"": ""A0"", ""control"": ""real"", ""seed"": 29, ""fold"": 2, ""epochs"": 10, ""lr"": 0.001, ""weight_decay"": 0.01, ""sampler"": ""balanced"", ""tau"": 0}",15370,29,2,10,0.0851063829787234,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,0.4851103136629454,"[0.625, 0.5555555555555556, 0.2857142857142857, 0.2857142857142857, 0.8, 0.625, 0.4, 0.6, 0.5714285714285714, 0.125]",0.4058768709200912,real,historical; see aggregate family ledger,fixed endpoint; no new rerun,enriched development; ROI grouping only; full-proposal evaluation absent,PROMPT_3\ARCHITECTURES\A0\RESULTS\RUNS\p3_A0_real_s29_cv2\history.jsonl
3,A0,p3_A0_real_s43_cv0,A0,Prompt2 A1,"{""id"": ""p3_A0_real_s43_cv0"", ""architecture"": ""A0"", ""control"": ""real"", ""seed"": 43, ""fold"": 0, ""epochs"": 10, ""lr"": 0.001, ""weight_decay"": 0.01, ""sampler"": ""balanced"", ""tau"": 0}",15370,43,0,10,0.0763768115942029,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,0.3905648156698577,"[0.6842105263157895, 0.46153846153846156, 0.2727272727272727, 0.2857142857142857, 0.8571428571428571, 0.2, 0.3333333333333333, 0.3333333333333333, 0.125, 0.5]",0.5208027949803616,real,historical; see aggregate family ledger,fixed endpoint; no new rerun,enriched development; ROI grouping only; full-proposal evaluation absent,PROMPT_3\ARCHITECTURES\A0\RESULTS\RUNS\p3_A0_real_s43_cv0\history.jsonl
3,A0,p3_A0_real_s43_cv1,A0,Prompt2 A1,"{""id"": ""p3_A0_real_s43_cv1"", ""architecture"": ""A0"", ""control"": ""real"", ""seed"": 43, ""fold"": 1, ""epochs"": 10, ""lr"": 0.001, ""weight_decay"": 0.01, ""sampler"": ""balanced"", ""tau"": 0}",15370,43,1,10,0.07409722222222223,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,0.3353202771463641,"[0.25, 0.16666666666666666, 0.3333333333333333, 0.1, 0.6666666666666666, 0.6363636363636364, 0.125, 0.8571428571428571, 0.2222222222222222, 0.3333333333333333]",0.513958438196819,real,historical; see aggregate family ledger,fixed endpoint; no new rerun,enriched development; ROI grouping only; full-proposal evaluation absent,PROMPT_3\ARCHITECTURES\A0\RESULTS\RUNS\p3_A0_real_s43_cv1\history.jsonl
3,A0,p3_A0_real_s43_cv2,A0,Prompt2 A1,"{""id"": ""p3_A0_real_s43_cv2"", ""architecture"": ""A0"", ""control"": ""real"", ""seed"": 43, ""fold"": 2, ""epochs"": 10, ""lr"": 0.001, ""weight_decay"": 0.01, ""sampler"": ""balanced"", ""tau"": 0}",15370,43,2,10,0.07638297872340424,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,0.43491008991008995,"[0.4583333333333333, 0.5555555555555556, 0.2857142857142857, 0.14285714285714285, 0.8, 0.75, 0.3, 0.6, 0.5714285714285714, 0.125]",0.46906823132139275,real,historical; see aggregate family ledger,fixed endpoint; no new rerun,enriched development; ROI grouping only; full-proposal evaluation absent,PROMPT_3\ARCHITECTURES\A0\RESULTS\RUNS\p3_A0_real_s43_cv2\history.jsonl
3,A1,p3_A1_real_s17_cv0,A1,Prompt2 A1,"{""id"": ""p3_A1_real_s17_cv0"", ""architecture"": ""A1"", ""control"": ""real"", ""seed"": 17, ""fold"": 0, ""epochs"": 10, ""lr"": 0.001, ""weight_decay"": 0.01, ""sampler"": ""balanced"", ""tau"": 0}",15530,17,0,10,0.07202898550724637,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,0.36116995018170833,"[0.6842105263157895, 0.46153846153846156, 0.2727272727272727, 0.14285714285714285, 0.8571428571428571, 0.2, 0.3333333333333333, 0.4166666666666667, 0.0, 0.5]",0.5504424053342296,real,historical; see aggregate family ledger,fixed endpoint; no new rerun,enriched development; ROI grouping only; full-proposal evaluation absent,PROMPT_3\ARCHITECTURES\A1\RESULTS\RUNS\p3_A1_real_s17_cv0\history.jsonl
