representation,class_name,n_train,n_confirmation,within_class_cosine,between_class_cosine,same_class_same_ROI_cosine,same_class_different_ROI_cosine,same_class_different_case_cosine,Fisher_between_within,held_fold_5NN_purity,held_fold_centroid_margin,held_fold_silhouette_like,train_confirmation_centroid_shift,covariance_Frobenius_shift,nearest_competing_class,train_margin,confirmation_margin,margin_change,cosine_softmax_entropy_change,scope
target_patch,tumor,71,39,0.3890466986265621,0.31414359172370576,0.474586493731446,0.38854436761504013,NOT RECORDED IN ORIGINAL RUN,0.17983312758593262,0.5183098591549296,-0.00386947375075304,-0.04355970235654501,0.1783538912168656,0.12118531003796103,epithelium,0.004903884923870198,-0.01779586667589852,-0.022699751599768718,0.00012528314454307576,descriptive; confirmation reused; no selection
target_patch,lymphocyte,37,15,0.45601476481272035,0.3094450400376646,0.5579741267228886,0.4553958915993051,NOT RECORDED IN ORIGINAL RUN,0.17983312758593262,0.6378378378378378,0.06800558314717718,0.10646323439381014,0.23923042398580438,0.17742326759368704,plasma_cell,0.08934558356392128,0.03445932511411647,-0.054886258449804805,0.0006731302079794332,descriptive; confirmation reused; no selection
target_patch,plasma_cell,24,12,0.4254220252117101,0.3152261374899602,0.7851461088461582,0.4242764071109634,NOT RECORDED IN ORIGINAL RUN,0.17983312758593262,0.375,0.002944151766119412,-0.01428434591119105,0.2843076298186686,0.22583189380220303,lymphocyte,0.04124887734519638,0.07579657054706228,0.034547693201865896,0.0005769545426494993,descriptive; confirmation reused; no selection
target_patch,histiocyte,24,12,0.40995474865474757,0.3368324455719997,0.43226206460291633,0.4098122098946954,NOT RECORDED IN ORIGINAL RUN,0.17983312758593262,0.2333333333333333,-0.029499844572588797,-0.009970543094115826,0.2801523041202601,0.2274994922528607,endothelium,0.00980769252750135,-0.029490961854621037,-0.039298654382122385,0.0008332129236920949,descriptive; confirmation reused; no selection
target_patch,melanophage,24,12,0.4420346491486686,0.3275736789633537,0.5680095903797401,0.44163345506831503,NOT RECORDED IN ORIGINAL RUN,0.17983312758593262,0.4833333333333334,0.037183864239505565,0.07292011169226459,0.2263866775003832,0.20743024605603347,tumor,0.06943169113414671,0.037027545889126996,-0.032404145245019715,3.832972605577467e-05,descriptive; confirmation reused; no selection
target_patch,neutrophil,24,12,0.48892598429714823,0.2584809996516587,0.5976735510310074,0.4823352226769144,NOT RECORDED IN ORIGINAL RUN,0.17983312758593262,0.5833333333333334,0.06542157243645469,0.13230546677606522,0.34034821147243005,0.18396796988970415,apoptosis,0.11001967107348747,0.11947511736754397,0.009455446294056508,-0.0011658712690567619,descriptive; confirmation reused; no selection
target_patch,stroma,24,12,0.33086505419951334,0.2809601988572298,NOT RECORDED IN ORIGINAL RUN,0.33086505419951334,NOT RECORDED IN ORIGINAL RUN,0.17983312758593262,0.23333333333333336,-0.018985481724053257,-0.05698462938233113,0.33949346437029204,0.23009148986850556,histiocyte,0.04144012940828335,-0.031170177360326578,-0.07261030676860993,0.0007721705691028369,descriptive; confirmation reused; no selection
target_patch,epithelium,24,12,0.37219489926005556,0.2970209863504456,0.3483821522641459,0.37330246888777224,NOT RECORDED IN ORIGINAL RUN,0.17983312758593262,0.375,-0.0007770823571273655,0.036643037101655576,0.2954295867861753,0.27306432312818396,tumor,0.03891616651345215,-0.009816127636678907,-0.048732294150131056,0.0008737719603248983,descriptive; confirmation reused; no selection
target_patch,endothelium,24,12,0.34950773895616816,0.2869995095775531,NOT RECORDED IN ORIGINAL RUN,0.34950773895616816,NOT RECORDED IN ORIGINAL RUN,0.17983312758593262,0.275,-0.03426059894622624,-0.06030435507265015,0.23999056820362868,0.23903794252448562,histiocyte,0.03175992475250704,-0.00032625892331297296,-0.03208618367582001,-0.00021791685693273166,descriptive; confirmation reused; no selection
target_patch,apoptosis,24,12,0.360813542441048,0.2912775631496047,0.4012421692834863,0.36074926799455764,NOT RECORDED IN ORIGINAL RUN,0.17983312758593262,0.21666666666666667,-0.03011672197722608,-0.07477043583605748,0.29052930216075984,0.2300867884473058,neutrophil,0.03134212880496257,0.019530261400094135,-0.011811867404868438,0.001802348223632677,descriptive; confirmation reused; no selection
gaussian,tumor,71,39,0.44500604274610844,0.36581012258949197,0.5763707556597268,0.4442346056736291,NOT RECORDED IN ORIGINAL RUN,0.20113155559534945,0.5323943661971829,0.013758786062900505,-0.023340722644240117,0.1783566162044828,0.11535991928405481,epithelium,0.022566682943437555,0.0016831812209460743,-0.020883501722491482,0.00031199143507665283,descriptive; confirmation reused; no selection
gaussian,lymphocyte,37,15,0.5205732045911532,0.3780832868016506,0.724458121468133,0.5193356633657997,NOT RECORDED IN ORIGINAL RUN,0.20113155559534945,0.5621621621621621,0.05919255577793694,0.10442625310774037,0.21942798748374398,0.15382943177518696,plasma_cell,0.07865029231475056,0.04163088654554916,-0.037019405769201395,0.00044572731003755806,descriptive; confirmation reused; no selection
