roi_id,fold,match_status,count
training_set_metastatic_roi_001,2,matched,628
training_set_metastatic_roi_001,2,unmatched,144
training_set_metastatic_roi_002,3,matched,794
training_set_metastatic_roi_002,3,unmatched,158
training_set_metastatic_roi_003,2,matched,383
training_set_metastatic_roi_003,2,unmatched,116
training_set_metastatic_roi_004,2,matched,562
training_set_metastatic_roi_004,2,unmatched,83
training_set_metastatic_roi_005,2,matched,287
training_set_metastatic_roi_005,2,unmatched,78
training_set_metastatic_roi_006,2,matched,276
training_set_metastatic_roi_006,2,unmatched,75
training_set_metastatic_roi_007,3,matched,257
training_set_metastatic_roi_007,3,unmatched,60
training_set_metastatic_roi_008,0,matched,163
training_set_metastatic_roi_008,0,unmatched,35
training_set_metastatic_roi_009,3,matched,500
training_set_metastatic_roi_009,3,unmatched,103
training_set_metastatic_roi_010,2,matched,230
training_set_metastatic_roi_010,2,unmatched,99
training_set_metastatic_roi_011,3,matched,383
training_set_metastatic_roi_011,3,unmatched,69
training_set_metastatic_roi_012,3,matched,396
training_set_metastatic_roi_012,3,unmatched,44
training_set_metastatic_roi_013,2,matched,792
training_set_metastatic_roi_013,2,unmatched,75
training_set_metastatic_roi_014,3,matched,454
training_set_metastatic_roi_014,3,unmatched,60
training_set_metastatic_roi_015,4,matched,291
training_set_metastatic_roi_015,4,unmatched,46
training_set_metastatic_roi_016,3,matched,376
training_set_metastatic_roi_016,3,unmatched,78
training_set_metastatic_roi_017,2,matched,606
training_set_metastatic_roi_017,2,unmatched,88
training_set_metastatic_roi_018,2,matched,251
training_set_metastatic_roi_018,2,unmatched,53
training_set_metastatic_roi_019,2,matched,409
training_set_metastatic_roi_019,2,unmatched,83
training_set_metastatic_roi_020,2,matched,265
training_set_metastatic_roi_020,2,unmatched,37
training_set_metastatic_roi_021,4,matched,541
training_set_metastatic_roi_021,4,unmatched,115
training_set_metastatic_roi_022,2,matched,619
training_set_metastatic_roi_022,2,unmatched,163
training_set_metastatic_roi_023,3,matched,411
training_set_metastatic_roi_023,3,unmatched,84
training_set_metastatic_roi_024,2,matched,252
training_set_metastatic_roi_024,2,unmatched,73
