feature,OOF_correctness_correlation,class_residual_correctness_correlation
H_mean,0.111307876637616,0.08134871922658389
H_std,-0.0203632464429719,-0.011953150420176053
H_p10,0.11406391005008615,0.07402517782712859
H_p50,0.1223945163992602,0.09629455944783176
H_p90,0.0711394116641747,0.05340051505142904
H_gradient_mean,0.0734757339696148,0.06590099127049061
H_gradient_std,0.06629919036197178,0.06838545341571256
H_abs_laplacian_mean,0.15874388716837437,0.1318428340541609
H_entropy32,-0.07285616311699125,-0.06741468970717143
H_center_minus_ring,0.05534708165202036,0.05239949987431232
gray_center_minus_ring,-0.03476915738417305,-0.044166486685976655
H_ring_std,-0.024670109272040733,-0.04193940093372876
central_valid_fraction,0.11786989069482283,0.16731990389030724
ring_valid_fraction,0.09588179268545327,0.14703565416668077
H_robust_z,0.11891581599394058,0.10600513894450615
H_ROI_percentile,0.12559050080478829,0.09727159920506295
