prompt,experiment_group,scenario_id,run_id,seed,fold,phase,epoch,split,class_name,support,predicted,precision,recall,f1,TP,FP,FN,dominant_confusion
6,A,p6_A_D300,p6_A_D300_s17,17,NOT APPLICABLE,joint,1,train,tumor,71,10,0.9,0.1267605633802817,0.2222222222222222,9,1,62,"[[""apoptosis"",45],[""epithelium"",9],[""histiocyte"",5],[""melanophage"",2],[""endothelium"",1]]"
6,A,p6_A_D300,p6_A_D300_s17,17,NOT APPLICABLE,joint,1,train,lymphocyte,37,16,0.375,0.16216216216216217,0.22641509433962265,6,10,31,"[[""apoptosis"",13],[""histiocyte"",8],[""plasma_cell"",3],[""endothelium"",3],[""epithelium"",2],[""melanophage"",1],[""stroma"",1]]"
6,A,p6_A_D300,p6_A_D300_s17,17,NOT APPLICABLE,joint,1,train,plasma_cell,24,12,0.16666666666666666,0.08333333333333333,0.1111111111111111,2,10,22,"[[""apoptosis"",12],[""lymphocyte"",4],[""histiocyte"",3],[""epithelium"",2],[""endothelium"",1]]"
6,A,p6_A_D300,p6_A_D300_s17,17,NOT APPLICABLE,joint,1,train,histiocyte,24,43,0.18604651162790697,0.3333333333333333,0.23880597014925373,8,35,16,"[[""apoptosis"",7],[""lymphocyte"",3],[""plasma_cell"",3],[""endothelium"",2],[""neutrophil"",1]]"
6,A,p6_A_D300,p6_A_D300_s17,17,NOT APPLICABLE,joint,1,train,melanophage,24,6,0.5,0.125,0.2,3,3,21,"[[""apoptosis"",11],[""histiocyte"",5],[""endothelium"",3],[""plasma_cell"",1],[""epithelium"",1]]"
6,A,p6_A_D300,p6_A_D300_s17,17,NOT APPLICABLE,joint,1,train,neutrophil,24,14,0.8571428571428571,0.5,0.631578947368421,12,2,12,"[[""apoptosis"",8],[""histiocyte"",3],[""lymphocyte"",1]]"
6,A,p6_A_D300,p6_A_D300_s17,17,NOT APPLICABLE,joint,1,train,stroma,24,3,0.6666666666666666,0.08333333333333333,0.14814814814814814,2,1,22,"[[""apoptosis"",12],[""histiocyte"",6],[""plasma_cell"",2],[""epithelium"",2]]"
6,A,p6_A_D300,p6_A_D300_s17,17,NOT APPLICABLE,joint,1,train,epithelium,24,33,0.45454545454545453,0.625,0.5263157894736842,15,18,9,"[[""apoptosis"",8],[""histiocyte"",1]]"
6,A,p6_A_D300,p6_A_D300_s17,17,NOT APPLICABLE,joint,1,train,endothelium,24,22,0.5454545454545454,0.5,0.5217391304347826,12,10,12,"[[""apoptosis"",5],[""histiocyte"",3],[""lymphocyte"",2],[""tumor"",1],[""epithelium"",1]]"
6,A,p6_A_D300,p6_A_D300_s17,17,NOT APPLICABLE,joint,1,train,apoptosis,24,141,0.14184397163120568,0.8333333333333334,0.24242424242424243,20,121,4,"[[""plasma_cell"",1],[""histiocyte"",1],[""neutrophil"",1],[""epithelium"",1]]"
6,A,p6_A_D300,p6_A_D300_s17,17,NOT APPLICABLE,joint,1,dev,tumor,58,6,0.3333333333333333,0.034482758620689655,0.0625,2,4,56,"[[""apoptosis"",39],[""histiocyte"",10],[""epithelium"",3],[""endothelium"",2],[""plasma_cell"",1],[""melanophage"",1]]"
6,A,p6_A_D300,p6_A_D300_s17,17,NOT APPLICABLE,joint,1,dev,lymphocyte,23,5,0.4,0.08695652173913043,0.14285714285714285,2,3,21,"[[""apoptosis"",7],[""histiocyte"",6],[""endothelium"",3],[""plasma_cell"",2],[""epithelium"",2],[""tumor"",1]]"
