prompt,run_id,seed,fold,epoch,split,true_class,predicted_class,count
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,train,tumor,tumor,1693
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,train,tumor,lymphocyte,511
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,train,tumor,plasma_cell,523
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,train,tumor,histiocyte,404
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,train,tumor,melanophage,248
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,train,tumor,neutrophil,1012
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,train,tumor,stroma,65
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,train,tumor,epithelium,2848
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,train,tumor,endothelium,1688
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,train,tumor,apoptosis,599
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,train,lymphocyte,tumor,124
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,train,lymphocyte,lymphocyte,1064
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,train,lymphocyte,plasma_cell,442
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,train,lymphocyte,histiocyte,222
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,train,lymphocyte,melanophage,41
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,train,lymphocyte,neutrophil,811
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,train,lymphocyte,stroma,21
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,train,lymphocyte,epithelium,204
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,train,lymphocyte,endothelium,189
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,train,lymphocyte,apoptosis,260
