prompt,run_id,seed,fold,epoch,split,objective,loss,macro_precision,macro_recall,macro_f1,balanced_accuracy_fixed10,accuracy,nll,ece15,roi_macro_precision,roi_macro_recall,roi_macro_f1,pooled_macro_f1,lr,gradients,unique_examples,unique_groups,repeat_fraction,checkpoint_status,early_stopping_counter,source_sha256
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,train,1.8957408235702047,1.9202237129211426,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,0.17461304512585277,0.41998359559479015,0.22975460122699387,1.9202237129211426,0.10019817323863871,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,8ddc5b0328a02be26b493cba85e76108c6ba54ce6c96979e6080bd27577b2f6d
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,1.8957408235702047,1.9645949602127075,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,0.14988377787757384,0.3261804988001681,0.2030952380952381,1.9645949602127075,0.11725730469539052,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,8ddc5b0328a02be26b493cba85e76108c6ba54ce6c96979e6080bd27577b2f6d
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,2,train,1.5374780163443162,1.77021324634552,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,0.22547199776365798,0.4749091335552994,0.3068711656441718,1.77021324634552,0.09008293759694862,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,8ddc5b0328a02be26b493cba85e76108c6ba54ce6c96979e6080bd27577b2f6d
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,2,val,1.5374780163443162,1.9202884435653687,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,0.20653871748845654,0.37747007382145403,0.2621428571428571,1.9202884435653687,0.12212615032635983,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,8ddc5b0328a02be26b493cba85e76108c6ba54ce6c96979e6080bd27577b2f6d
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,3,train,1.4009831183965953,1.8663955926895142,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,0.22908561132307903,0.5110401864299238,0.2540490797546012,1.8663955926895142,0.19449795127463484,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,8ddc5b0328a02be26b493cba85e76108c6ba54ce6c96979e6080bd27577b2f6d
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,3,val,1.4009831183965953,2.0693423748016357,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,0.1997027342957375,0.3858573100415044,0.2092857142857143,2.0693423748016357,0.22583959246675173,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,8ddc5b0328a02be26b493cba85e76108c6ba54ce6c96979e6080bd27577b2f6d
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,4,train,1.3293330732006237,1.8044400215148926,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,0.2440149253315686,0.560875903054074,0.28754601226993864,1.8044400215148926,0.16810239094440924,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,8ddc5b0328a02be26b493cba85e76108c6ba54ce6c96979e6080bd27577b2f6d
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,4,val,1.3293330732006237,2.0244226455688477,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,0.20981397888669934,0.43215418711012943,0.24333333333333335,2.0244226455688477,0.1968389643125591,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,8ddc5b0328a02be26b493cba85e76108c6ba54ce6c96979e6080bd27577b2f6d
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,5,train,1.2652613109752444,1.3921617269515991,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,0.30914195733816763,0.5755300254530863,0.5003067484662577,1.3921617269515991,0.05911012652187261,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,8ddc5b0328a02be26b493cba85e76108c6ba54ce6c96979e6080bd27577b2f6d
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,5,val,1.2652613109752444,1.5242350101470947,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,0.2567648907565487,0.4065197134992623,0.46785714285714286,1.5242350101470947,0.05123616043300855,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,8ddc5b0328a02be26b493cba85e76108c6ba54ce6c96979e6080bd27577b2f6d
