prompt,run_id,seed,fold,epoch,split,class_name,support,predicted,precision,recall,f1,TP,FP,FN,dominant_confusion,class_diagnostics
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,train,tumor,9591,2009,0.8427078148332504,0.1765196538421437,0.2918965517241379,1693,316,7898,"[[""epithelium"",2848],[""endothelium"",1688],[""neutrophil"",1012],[""apoptosis"",599],[""plasma_cell"",523],[""lymphocyte"",511],[""histiocyte"",404],[""melanophage"",248],[""stroma"",65]]",NOT RECORDED IN ORIGINAL RUN
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,train,lymphocyte,3378,1772,0.600451467268623,0.31497927767910006,0.41320388349514564,1064,708,2314,"[[""neutrophil"",811],[""plasma_cell"",442],[""apoptosis"",260],[""histiocyte"",222],[""epithelium"",204],[""endothelium"",189],[""tumor"",124],[""melanophage"",41],[""stroma"",21]]",NOT RECORDED IN ORIGINAL RUN
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,train,plasma_cell,81,1201,0.03996669442131557,0.5925925925925926,0.0748829953198128,48,1153,33,"[[""apoptosis"",12],[""neutrophil"",9],[""lymphocyte"",4],[""endothelium"",3],[""tumor"",2],[""epithelium"",2],[""histiocyte"",1]]",NOT RECORDED IN ORIGINAL RUN
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,train,histiocyte,1295,1043,0.30201342281879195,0.24324324324324326,0.2694610778443114,315,728,980,"[[""endothelium"",321],[""epithelium"",213],[""lymphocyte"",102],[""plasma_cell"",101],[""neutrophil"",86],[""tumor"",79],[""apoptosis"",55],[""melanophage"",12],[""stroma"",11]]",NOT RECORDED IN ORIGINAL RUN
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,train,melanophage,114,418,0.18181818181818182,0.6666666666666666,0.2857142857142857,76,342,38,"[[""epithelium"",9],[""apoptosis"",8],[""neutrophil"",6],[""lymphocyte"",4],[""histiocyte"",3],[""endothelium"",3],[""tumor"",2],[""stroma"",2],[""plasma_cell"",1]]",NOT RECORDED IN ORIGINAL RUN
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,train,neutrophil,49,2304,0.019097222222222224,0.8979591836734694,0.037399065023374416,44,2260,5,"[[""plasma_cell"",2],[""lymphocyte"",1],[""epithelium"",1],[""endothelium"",1]]",NOT RECORDED IN ORIGINAL RUN
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,train,stroma,709,122,0.14754098360655737,0.02538787023977433,0.04332129963898917,18,104,691,"[[""neutrophil"",144],[""endothelium"",132],[""apoptosis"",123],[""epithelium"",102],[""histiocyte"",51],[""lymphocyte"",41],[""plasma_cell"",38],[""melanophage"",31],[""tumor"",29]]",NOT RECORDED IN ORIGINAL RUN
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,train,epithelium,439,3749,0.07441984529207789,0.6355353075170843,0.1332378223495702,279,3470,160,"[[""tumor"",43],[""endothelium"",35],[""neutrophil"",26],[""lymphocyte"",22],[""histiocyte"",11],[""plasma_cell"",8],[""apoptosis"",8],[""melanophage"",6],[""stroma"",1]]",NOT RECORDED IN ORIGINAL RUN
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,train,endothelium,320,2516,0.051271860095389504,0.403125,0.09097320169252468,129,2387,191,"[[""epithelium"",63],[""histiocyte"",32],[""tumor"",30],[""apoptosis"",22],[""neutrophil"",21],[""plasma_cell"",11],[""lymphocyte"",8],[""stroma"",3],[""melanophage"",1]]",NOT RECORDED IN ORIGINAL RUN
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,train,apoptosis,324,1166,0.06775300171526587,0.24382716049382716,0.10604026845637583,79,1087,245,"[[""neutrophil"",145],[""epithelium"",28],[""plasma_cell"",27],[""lymphocyte"",15],[""endothelium"",15],[""tumor"",7],[""histiocyte"",4],[""melanophage"",3],[""stroma"",1]]",NOT RECORDED IN ORIGINAL RUN
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,tumor,2849,573,0.8795811518324608,0.1769041769041769,0.2945645821157218,504,69,2345,"[[""epithelium"",847],[""endothelium"",605],[""neutrophil"",284],[""lymphocyte"",178],[""histiocyte"",131],[""plasma_cell"",123],[""melanophage"",101],[""apoptosis"",56],[""stroma"",20]]",NOT RECORDED IN ORIGINAL RUN
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,lymphocyte,672,353,0.43059490084985835,0.2261904761904762,0.2965853658536585,152,201,520,"[[""neutrophil"",180],[""plasma_cell"",79],[""epithelium"",68],[""apoptosis"",49],[""endothelium"",47],[""histiocyte"",37],[""tumor"",27],[""melanophage"",22],[""stroma"",11]]",NOT RECORDED IN ORIGINAL RUN
