prompt,run_id,seed,fold,epoch,split,class_name,draws,unique_nuclei,unique_groups,repeat_fraction,roi_exposure,bucket_exposure
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,train,tumor,1616,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,train,lymphocyte,1695,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,train,plasma_cell,1591,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,train,histiocyte,1574,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,train,melanophage,1599,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,train,neutrophil,1715,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,train,stroma,1615,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,train,epithelium,1608,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,train,endothelium,1615,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,train,apoptosis,1672,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN
