prompt,run_id,seed,fold,epoch,split,objective,loss,macro_precision,macro_recall,macro_f1,balanced_accuracy_fixed10,accuracy,nll,ece15,roi_macro_precision,roi_macro_recall,roi_macro_f1,pooled_macro_f1,lr,gradients,unique_examples,unique_groups,repeat_fraction,checkpoint_status,early_stopping_counter,source_sha256
1,LORA_EXCLUDED_frozen,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,1,train,3.3752389589945477,1.8960667848587036,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,0.3742857142857143,0.4666666666666667,0.4666666666666667,1.8960667848587036,0.23796412646770476,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,8d8259c73debe285ceae3423ea2ac5d745c410bfd0b2d596ef0f9588d55dc658
1,LORA_EXCLUDED_frozen,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,1,val,3.3752389589945477,2.5743157863616943,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,0.15333333333333332,0.2,0.2,2.5743157863616943,0.26291825026273724,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,8d8259c73debe285ceae3423ea2ac5d745c410bfd0b2d596ef0f9588d55dc658
1,LORA_EXCLUDED_frozen,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,2,train,1.5740461349487305,0.8727626204490662,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,0.8971428571428571,0.9,0.9,0.8727626204490662,0.4346878657738367,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,8d8259c73debe285ceae3423ea2ac5d745c410bfd0b2d596ef0f9588d55dc658
1,LORA_EXCLUDED_frozen,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,2,val,1.5740461349487305,2.159114122390747,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,0.18333333333333332,0.2,0.2,2.159114122390747,0.13550658971071244,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,8d8259c73debe285ceae3423ea2ac5d745c410bfd0b2d596ef0f9588d55dc658
1,LORA_EXCLUDED_frozen,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,3,train,0.7673476378122965,0.45036372542381287,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,0.9657142857142856,0.9666666666666666,0.9666666666666667,0.45036372542381287,0.3162487477064132,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,8d8259c73debe285ceae3423ea2ac5d745c410bfd0b2d596ef0f9588d55dc658
1,LORA_EXCLUDED_frozen,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,3,val,0.7673476378122965,2.1547012329101562,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,0.11000000000000001,0.2,0.2,2.1547012329101562,0.14834956973791122,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,8d8259c73debe285ceae3423ea2ac5d745c410bfd0b2d596ef0f9588d55dc658
1,LORA_EXCLUDED_frozen,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,4,train,0.37991957664489745,0.16805657744407654,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,1.0,1.0,1.0,0.16805657744407654,0.1474967877070109,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,8d8259c73debe285ceae3423ea2ac5d745c410bfd0b2d596ef0f9588d55dc658
1,LORA_EXCLUDED_frozen,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,4,val,0.37991957664489745,2.1023237705230713,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,0.32666666666666666,0.4,0.4,2.1023237705230713,0.2302900567650795,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,8d8259c73debe285ceae3423ea2ac5d745c410bfd0b2d596ef0f9588d55dc658
1,LORA_EXCLUDED_frozen,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,5,train,0.14690646827220916,0.06378613412380219,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,1.0,1.0,1.0,0.06378613412380219,0.061048597097396844,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,8d8259c73debe285ceae3423ea2ac5d745c410bfd0b2d596ef0f9588d55dc658
1,LORA_EXCLUDED_frozen,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,5,val,0.14690646827220916,2.0796456336975098,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,0.27,0.35,0.35,2.0796456336975098,0.29087406173348423,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,8d8259c73debe285ceae3423ea2ac5d745c410bfd0b2d596ef0f9588d55dc658
