prompt,run_id,seed,fold,epoch,split,class_name,support,predicted,precision,recall,f1,TP,FP,FN,dominant_confusion,class_diagnostics
1,LORA_EXCLUDED_frozen,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,1,train,tumor,3,0,0.0,0.0,0.0,0,0,3,"[[""melanophage"",1],[""stroma"",1],[""epithelium"",1]]",NOT RECORDED IN ORIGINAL RUN
1,LORA_EXCLUDED_frozen,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,1,train,lymphocyte,3,4,0.75,1.0,0.8571428571428571,3,1,0,[],NOT RECORDED IN ORIGINAL RUN
1,LORA_EXCLUDED_frozen,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,1,train,plasma_cell,3,0,0.0,0.0,0.0,0,0,3,"[[""epithelium"",2],[""stroma"",1]]",NOT RECORDED IN ORIGINAL RUN
1,LORA_EXCLUDED_frozen,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,1,train,histiocyte,3,2,0.5,0.3333333333333333,0.4,1,1,2,"[[""stroma"",2]]",NOT RECORDED IN ORIGINAL RUN
1,LORA_EXCLUDED_frozen,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,1,train,melanophage,3,4,0.75,1.0,0.8571428571428571,3,1,0,[],NOT RECORDED IN ORIGINAL RUN
1,LORA_EXCLUDED_frozen,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,1,train,neutrophil,3,0,0.0,0.0,0.0,0,0,3,"[[""stroma"",2],[""lymphocyte"",1]]",NOT RECORDED IN ORIGINAL RUN
1,LORA_EXCLUDED_frozen,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,1,train,stroma,3,11,0.2727272727272727,1.0,0.42857142857142855,3,8,0,[],NOT RECORDED IN ORIGINAL RUN
1,LORA_EXCLUDED_frozen,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,1,train,epithelium,3,7,0.2857142857142857,0.6666666666666666,0.4,2,5,1,"[[""stroma"",1]]",NOT RECORDED IN ORIGINAL RUN
1,LORA_EXCLUDED_frozen,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,1,train,endothelium,3,2,1.0,0.6666666666666666,0.8,2,0,1,"[[""epithelium"",1]]",NOT RECORDED IN ORIGINAL RUN
1,LORA_EXCLUDED_frozen,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,1,train,apoptosis,3,0,0.0,0.0,0.0,0,0,3,"[[""histiocyte"",1],[""stroma"",1],[""epithelium"",1]]",NOT RECORDED IN ORIGINAL RUN
