family,trial_id,mean_cv_roi_f1,sd_cv_roi_f1,delta_vs_control,mean_generalization_gap,trainable_parameters,class_harm,class_recall_delta,eligible,prototype_config_sha256
optimizer,p6_D_control_optimizer_hpo_007,0.2529588038784049,0.01444026800502923,0.01158093701326765,0.41529890446595363,27866,"[""apoptosis""]","{""tumor"":0.05330958608051395,""lymphocyte"":0.06348920983067324,""plasma_cell"":0.056084656084656126,""histiocyte"":0.0,""melanophage"":0.08026755852842815,""neutrophil"":0.08205128205128204,""stroma"":-0.02564102564102566,""epithelium"":-0.03741852017714087,""endothelium"":0.01151515151515159,""apoptosis"":-0.11227053140096621}",False,ab1f4b800795f38dda768e5beb5ff49484d8f19b6b8ed9814cc8674cabdb0de2
optimizer,p6_D_control_optimizer_hpo_006,0.24913825156960168,0.02299247425639402,0.0077603847044644125,0.4254365756195735,27866,[],"{""tumor"":0.017122181301285733,""lymphocyte"":0.020654801142606094,""plasma_cell"":0.017989417989418,""histiocyte"":0.13888888888888895,""melanophage"":-0.030657748049052413,""neutrophil"":-0.00512820512820511,""stroma"":0.01738705738705737,""epithelium"":0.018808777429467183,""endothelium"":-0.024848484848484786,""apoptosis"":-0.056159420289855155}",True,bf10538e43958515d6c39c1a785bb85b607208845cce5a0a01d026079850b96b
optimizer,p6_D_control_optimizer_hpo_005,0.24635645665655126,0.012955601248990211,0.004978589791413995,0.35073371912003654,27866,[],"{""tumor"":-0.03546637226066174,""lymphocyte"":0.07446914763987939,""plasma_cell"":0.06410470620996933,""histiocyte"":0.05555555555555558,""melanophage"":0.027313266443701245,""neutrophil"":0.046153846153846156,""stroma"":-0.03794871794871796,""epithelium"":0.03814002089864166,""endothelium"":-0.033939393939393825,""apoptosis"":-0.06879227053140102}",True,f860cd32dedad6bfaffe614c913296525fcbb9ad54ad278bbf25a9eb3f91dd5f
optimizer,p6_D_control_optimizer_hpo_011,0.24634690580927823,0.018527177787500078,0.004969038944140969,0.3593198888245112,27866,[],"{""tumor"":-0.033439053555860854,""lymphocyte"":0.0388858925444292,""plasma_cell"":0.06410470620996933,""histiocyte"":-0.027777777777777735,""melanophage"":0.023968784838350077,""neutrophil"":-0.07948717948717948,""stroma"":0.04051282051282046,""epithelium"":0.00855849131711206,""endothelium"":-0.0036363636363635488,""apoptosis"":-0.08454106280193241}",True,4ae0d46b7597110ae6b8151e2399b39bdfc31bec06d34c3e7fa48b34b7150508
optimizer,p6_D_control_optimizer_hpo_008,0.24521423769301234,0.021313225128776758,0.0038363708278750797,0.3546452522463994,27866,[],"{""tumor"":-0.024423337856173788,""lymphocyte"":0.06173135441428129,""plasma_cell"":0.029016986911723663,""histiocyte"":0.125,""melanophage"":-0.0050167224080266415,""neutrophil"":0.0,""stroma"":-0.08813186813186819,""epithelium"":0.06844305120167193,""endothelium"":-0.009696969696969648,""apoptosis"":-0.05504830917874404}",True,48ef37060d9924c4bcab27c7c30e18b51bb9d01ab3e2c9f7290ce1d2b21d6442
optimizer,p6_D_control_optimizer_hpo_001,0.24302228441841786,0.015409348542159895,0.0016444175532805971,0.3997249914745195,27866,[],"{""tumor"":0.014160329539953165,""lymphocyte"":0.023717731034804235,""plasma_cell"":0.056084656084656126,""histiocyte"":-0.02777777777777779,""melanophage"":0.03678929765886296,""neutrophil"":0.025641025641025716,""stroma"":-0.04874236874236876,""epithelium"":0.022466039707419005,""endothelium"":0.013333333333333308,""apoptosis"":-0.06944444444444453}",True,97bcb6061673c961cc06c7f8164c734b6991fb1966e1f88fb35826ec6c4e6066
optimizer,p6_D_control_optimizer_hpo_009,0.24157964327481365,0.016870443994853244,0.00020177640967639077,0.44638851321260437,27866,[],"{""tumor"":0.04912478825522293,""lymphocyte"":0.0006658543243910353,""plasma_cell"":0.0009746588693957392,""histiocyte"":0.041666666666666685,""melanophage"":-0.006688963210702337,""neutrophil"":0.01025641025641022,""stroma"":-0.05484737484737484,""epithelium"":-0.05767029904960935,""endothelium"":0.0,""apoptosis"":0.0006038647342994641}",True,405ccfc3c7eab5a82cb764edca74e43b18f4902a6d7aa3b448b88bd2e422fd0f
optimizer,p6_D_control_optimizer_hpo_010,0.23428203315173865,0.01090085506032261,-0.007095833713398614,0.29604387708070845,27866,"[""tumor""]","{""tumor"":-0.10873170379984143,""lymphocyte"":0.03096888462742131,""plasma_cell"":0.08262322472848782,""histiocyte"":-0.013888888888888895,""melanophage"":0.04013377926421413,""neutrophil"":-0.0692307692307692,""stroma"":0.014871794871794852,""epithelium"":0.04324028461959495,""endothelium"":-0.047272727272727244,""apoptosis"":-0.08333333333333337}",False,2ea4657ef565f2aa895ff5513966f9b0b13990de279d02610cd30f7702f1fb9b
optimizer,p6_D_control_optimizer_hpo_003,0.21961587186856937,0.010916715744941055,-0.02176199499656789,0.2636318003769764,27866,"[""tumor"",""neutrophil""]","{""tumor"":-0.15402940127145193,""lymphocyte"":0.011858865517402117,""plasma_cell"":0.10969089390142017,""histiocyte"":-0.02777777777777779,""melanophage"":0.08026755852842815,""neutrophil"":-0.10000000000000003,""stroma"":-0.09382173382173384,""epithelium"":0.05767029904960941,""endothelium"":-0.04909090909090896,""apoptosis"":-0.06828502415458937}",False,77bcd8a01fa6a29bad955cf8464678d3cea4cb6378767e7b597ab1cb88204703
optimizer,p6_D_control_optimizer_hpo_004,0.18703668759006145,0.005881242274859077,-0.05434117927507581,0.21532276147720286,27866,"[""tumor"",""lymphocyte"",""neutrophil"",""endothelium""]","{""tumor"":-0.22391430762618308,""lymphocyte"":-0.10698947284313132,""plasma_cell"":0.06365914786967419,""histiocyte"":-0.055555555555555525,""melanophage"":0.052954292084726906,""neutrophil"":-0.15128205128205127,""stroma"":-0.09382173382173384,""epithelium"":0.10364731054386223,""endothelium"":-0.12121212121212116,""apoptosis"":-0.08096618357487928}",False,b64a79613314adf43b06cb9b9ae5ee870d4d87868c96675234b42ca33bb4cd33
