feature,train_class_eta2,train_roi_eta2,dev_correctness_correlation
H_mean,0.12365550342700565,0.5964426805018938,-0.00808747265069817
H_std,0.2501310714629362,0.31034280178413,-0.07907570241852768
H_p10,0.09351381769380347,0.47844078653084005,0.0296894503172489
H_p50,0.11760297298902853,0.5396649196251535,0.011602469845223324
H_p90,0.18070991857996366,0.6009316395100799,-0.059238676561269105
H_gradient_mean,0.20560947556478698,0.349639199629711,-0.05179277520231706
H_gradient_std,0.22957374499297917,0.3040378250088346,-0.06891078693267848
H_abs_laplacian_mean,0.10453820103379471,0.41400169551896265,0.004278873688727786
H_entropy32,0.20926024957647663,0.30439202685760325,-0.1438836418524084
H_center_minus_ring,0.13698725000120843,0.20820174030486557,-0.06385248007549908
gray_center_minus_ring,0.09118147574329569,0.16726187236482207,0.0984658743962214
H_ring_std,0.09031955382117432,0.4002268869133489,-0.08088974980653782
central_valid_fraction,0.015156134682445456,0.06794259172883246,-0.09132391965208309
ring_valid_fraction,0.014473571495738594,0.06899316849794228,-0.025895111582932395
H_robust_z,0.10193339678123339,0.26536538878477695,-0.042424714345627945
H_ROI_percentile,0.09434634410076209,0.1798563881028952,-0.04462978155400359
